date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,68900,70500,67600,69000,114913,7846,-0.72,-500,5,348210,722913,-3.93,14.92,9.82,1.10,0,0,0,5,-600,-0.86,2,1000,1.44,5,-1900,-2.73
20251209,70300,70700,68800,69500,119620,8301,-1.14,800,5,348210,728152,-33.38,34.93,9.82,1.14,-7468,2780,4665,3,0,0.00,2,400,0.57,5,-1500,-2.13
20251208,72100,72200,69000,70300,179568,12578,-4.09,3000,5,348210,736533,25.22,51.92,9.89,1.71,12313,-31454,18388,5,-1200,-1.64,5,-1100,-1.50,5,-4300,-5.87
20251205,75300,76600,72300,73300,143403,10648,-3.55,-2700,5,348210,767964,-49.64,114.35,9.37,1.37,49477,-38580,-11013,5,-700,-0.92,2,600,0.79,5,-3700,-4.87
20251204,70400,76300,69900,76000,284735,21148,6.44,4600,2,348210,796252,153.37,137.52,9.37,2.72,33869,97209,-129869,5,-1000,-1.40,2,4900,6.86,5,-1500,-2.10
20251203,69700,71700,69400,71400,112379,7962,2.00,1400,2,348210,748058,-42.54,195.71,8.82,1.07,3344,25806,-29277,5,-300,-0.43,2,1700,2.43,5,-600,-0.86
20251202,66400,70200,65800,70000,195568,13492,7.20,4700,2,348210,733390,86.28,179.40,8.71,1.87,4492,57997,-64329,2,1100,1.68,2,4900,7.50,2,500,0.77
20251201,65600,67200,64600,65300,104985,6934,-0.46,300,5,348210,684148,60.45,90.01,8.69,1.00,2447,12958,-16911,3,0,0.00,2,1600,2.44,5,-1000,-1.52
20251128,65200,65900,64500,65600,65431,4264,0.00,0,3,348210,687292,-64.47,118.27,8.77,0.62,-23155,31084,-7851,5,-400,-0.61,2,300,0.46,5,-1100,-1.68
20251127,60400,66700,59600,65600,184137,11947,9.70,5800,2,348210,687292,61.67,188.63,8.98,1.76,24057,23403,-54408,2,600,1.00,2,6900,11.54,5,-200,-0.33
20251126,59200,60900,57400,59800,113897,6780,1.87,1100,2,348210,626525,0.69,240.25,8.66,1.09,-3130,8463,-9889,2,500,0.85,2,2200,3.75,5,-1300,-2.21
20251125,59700,60500,55400,58700,113118,6557,-0.17,100,5,348210,615000,-48.58,117.63,8.70,1.08,-27942,15091,12806,2,900,1.53,2,1700,2.89,5,-3400,-5.78
