date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,55900,56000,54300,55200,425775,23417,0.91,500,2,204320,2592033,-75.56,69.09,23.07,0.91,0,0,0,2,1200,2.19,2,1300,2.38,5,-400,-0.73
20251209,56900,57500,54200,54700,1741971,96385,-7.45,4400,5,204320,2568554,26.12,74.26,23.07,3.71,-17759,-331885,347385,5,-2200,-3.72,5,-1600,-2.71,5,-4900,-8.29
20251208,61000,61100,57200,59100,1381170,82072,-0.17,100,5,204320,2775166,-48.71,77.28,22.98,2.94,-333398,18644,309666,2,1800,3.04,2,1900,3.21,5,-2000,-3.38
20251205,55800,61100,54300,59200,2693038,157775,9.43,5100,2,204320,2779862,8.23,105.37,24.11,5.74,-198089,198915,-982,2,1700,3.14,2,7000,12.94,2,200,0.37
20251204,55500,58000,53400,54100,2488230,139635,3.64,1900,2,204320,2540380,109.74,105.11,24.11,5.30,-212096,11729,194380,2,3300,6.32,2,5800,11.11,2,1200,2.30
20251203,52100,54100,51300,52200,1186343,62689,2.76,1400,2,204320,2451162,-26.18,95.91,24.68,2.53,-298766,149696,149772,2,1300,2.56,2,3300,6.50,2,500,0.98
20251202,53200,55500,50200,50800,1606990,84382,-0.78,400,5,204320,2385422,-24.69,87.03,25.44,3.42,-99802,41598,44412,2,2000,3.91,2,4300,8.40,5,-1000,-1.95
20251201,49500,53400,48800,51200,2133921,110498,9.87,4600,2,204320,2404205,74.98,136.04,25.75,4.54,-187372,211749,-58421,2,2900,6.22,2,6800,14.59,2,2200,4.72
20251128,45150,47800,44100,46600,1219545,56907,8.12,3500,2,204320,2188202,382.64,148.55,26.15,2.60,66408,97021,-179148,2,2050,4.76,2,4700,10.90,2,1000,2.32
20251127,42900,43200,42300,43100,252684,10827,1.77,750,2,204320,2023852,-31.53,119.49,25.90,0.54,-19269,25204,-649,2,550,1.30,2,850,2.01,5,-50,-0.12
