date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,48050,49500,48050,49300,214610,10483,0.61,300,2,009420,2575463,-56.91,108.91,3.03,0.41,0,0,0,5,-950,-1.94,2,500,1.02,5,-950,-1.94
20251209,49400,49700,48250,49000,498061,24362,2.19,1050,2,009420,2559791,-45.13,96.92,3.03,0.95,-26984,-12722,37451,2,1450,3.02,2,1750,3.65,2,300,0.63
20251208,50700,50800,47550,47950,907747,43887,-6.16,3150,5,009420,2504939,-30.90,63.53,3.04,1.74,50675,-184364,144980,5,-400,-0.78,5,-300,-0.59,5,-3550,-6.95
20251205,53800,54200,50600,51100,1313698,67911,-8.75,-4900,5,009420,2669497,-0.02,50.63,3.23,2.51,-148827,-129869,290052,5,-2200,-3.93,5,-1800,-3.21,5,-5400,-9.64
20251204,53000,56600,51500,56000,1314026,70954,6.67,3500,2,009420,2925476,65.93,100.26,3.23,2.52,-126560,-40895,159075,2,500,0.95,2,4100,7.81,5,-1000,-1.90
20251203,51900,52900,50700,52500,791918,40930,-0.57,300,5,009420,2742633,-41.25,95.55,3.53,1.52,-113438,25593,79591,5,-900,-1.70,2,100,0.19,5,-2100,-3.98
20251202,53300,54000,51600,52800,1348005,70922,-4.35,2400,5,009420,2758306,-62.68,63.54,3.68,2.58,-116044,-114118,204752,5,-1900,-3.44,5,-1200,-2.17,5,-3600,-6.52
20251201,48050,57100,47300,55200,3611571,190973,17.95,8400,2,009420,2883683,376.03,126.43,4.04,6.91,87562,235555,-299754,2,1250,2.67,2,10300,22.01,2,500,1.07
20251128,45700,47650,44600,46800,758690,35052,4.00,1800,2,009420,2444862,73.11,110.56,3.84,1.45,-57399,27754,24830,2,700,1.56,2,2650,5.89,5,-400,-0.89
20251127,46050,46750,44450,45000,438258,19971,-2.91,1350,5,009420,2350829,-65.60,65.49,3.94,0.84,-65427,-27482,94917,5,-300,-0.65,2,400,0.86,5,-1900,-4.10
20251126,43050,47500,43050,46350,1274014,58762,8.68,3700,2,009420,2421354,199.00,137.48,4.16,2.44,248721,131191,-386372,2,400,0.94,2,4850,11.37,2,400,0.94
20251125,43900,44450,42400,42650,426092,18435,-4.05,1800,5,009420,2228063,-24.51,72.65,3.55,0.82,-624,-42579,45491,5,-550,-1.24,3,0,0.00,5,-2050,-4.61
20251124,44950,45300,42900,44450,564435,24760,1.14,500,2,009420,2322096,68.55,76.72,3.56,1.08,-79269,-6137,80879,2,1000,2.28,2,1350,3.07,5,-1050,-2.39
20251121,44000,45100,43650,43950,334869,14789,-3.30,1500,5,009420,2295976,-41.61,89.29,3.75,0.64,-51918,6422,45431,5,-1450,-3.19,5,-350,-0.77,5,-1800,-3.96
20251120,42700,45500,42550,45450,573466,25586,5.45,2350,2,009420,2374337,-17.46,124.28,3.89,1.10,25903,20183,-47476,5,-400,-0.93,2,2400,5.57,5,-550,-1.28
20251119,45350,45350,42600,43100,694785,30142,-4.54,2050,5,009420,2251571,14.16,77.09,3.87,1.33,94337,-19999,-60537,2,200,0.44,2,200,0.44,5,-2550,-5.65
20251118,45600,46350,44500,45150,608617,27622,-2.38,1100,5,009420,2358665,-48.65,86.96,3.55,1.17,22218,24857,-47458,5,-650,-1.41,2,100,0.22,5,-1750,-3.78
20251117,43800,46650,42650,46250,1185207,53876,5.84,2550,2,009420,2416130,-36.81,107.13,3.50,2.27,24609,-54709,9419,2,100,0.23,2,2950,6.75,5,-1050,-2.40
20251114,40250,44900,40200,43700,1875733,81628,4.80,2000,2,009420,2282916,59.81,121.72,3.40,3.59,75674,-3948,-90933,5,-1450,-3.48,2,3200,7.67,5,-1500,-3.60
20251113,40400,41750,39500,41700,1173707,48308,2.46,1000,2,009420,2178435,-21.28,93.66,3.52,2.25,16840,35829,-52588,5,-300,-0.74,2,1050,2.58,5,-1200,-2.95
20251112,40600,40950,38700,40700,1491063,59490,3.83,1500,2,009420,2126194,-22.00,74.83,3.41,2.85,-218620,-84337,291090,2,1400,3.57,2,1750,4.46,5,-500,-1.28
20251111,41600,42750,38100,39200,1911631,76920,-9.99,4350,5,009420,2047833,115.26,57.96,4.06,3.66,233551,-328274,100233,5,-1950,-4.48,5,-800,-1.84,5,-5450,-12.51
20251110,45650,45950,43050,43550,888041,39111,-5.94,2750,5,009420,2275080,-13.75,56.39,3.56,1.70,44136,-85957,42836,5,-650,-1.40,5,-350,-0.76,5,-3250,-7.02
20251107,46400,47500,45550,46300,1029580,47906,-2.22,1050,5,009420,2418742,-68.18,75.54,3.46,1.97,-33539,-39632,77777,5,-950,-2.01,2,150,0.32,5,-1800,-3.80
20251106,43900,49600,43500,47350,3235885,155057,6.64,2950,2,009420,2473594,11.30,104.28,3.54,6.19,189834,184841,-394638,5,-500,-1.13,2,5200,11.71,5,-900,-2.03
20251105,44500,45500,41550,44400,2907349,127178,7.38,3050,2,009420,2319484,122.89,94.08,3.14,5.57,-396637,280791,83468,2,3150,7.62,2,4150,10.04,2,200,0.48
20251104,39900,41550,38650,41350,1304397,52773,5.08,2000,2,009420,2160150,7.99,109.94,3.94,2.50,-193270,92038,88640,2,550,1.40,2,2200,5.59,5,-700,-1.78
20251103,41150,41200,38500,39350,1207855,47469,-4.95,2050,5,009420,2055669,-73.49,62.85,4.38,2.31,-328785,-104480,425368,5,-250,-0.60,5,-200,-0.48,5,-2900,-7.00
20251031,36000,42500,35900,41400,4556119,182638,22.49,7600,2,009420,2162762,1201.42,130.52,5.14,8.72,516708,286202,-793417,2,2200,6.51,2,8700,25.74,2,2100,6.21
20251030,34750,35250,33450,33800,350088,11908,-2.03,700,5,009420,1765734,8.90,65.21,3.96,0.67,-96794,-15810,111496,2,250,0.72,2,750,2.17,5,-1050,-3.04
20251029,35700,35700,34300,34500,321478,11135,-2.68,950,5,009420,1802302,-52.56,75.45,4.23,0.62,-45928,-21738,66942,2,250,0.71,2,250,0.71,5,-1150,-3.24
20251028,36450,36900,35000,35450,677624,24313,1.87,650,2,009420,1851931,75.15,80.05,4.23,1.30,-50772,44655,6329,2,1650,4.74,2,2100,6.03,2,200,0.57
20251027,33250,34850,32950,34800,386878,13240,6.26,2050,2,009420,1817974,42.64,112.19,4.33,0.74,18798,8517,-33612,2,500,1.53,2,2100,6.41,2,200,0.61
