date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,30750,32900,30650,32450,372571,11992,9.81,2900,2,218410,860037,206.03,131.29,16.51,1.41,0,0,0,2,1200,4.06,2,3350,11.34,2,1100,3.72
20251209,29600,29950,29250,29550,121745,3587,-0.51,150,5,218410,783177,-34.11,52.87,16.51,0.46,53620,-53184,1177,5,-100,-0.34,2,250,0.84,5,-450,-1.52
20251208,30000,30250,29300,29700,184771,5468,-2.78,850,5,218410,787152,39.75,87.04,16.29,0.70,65661,-74741,10156,5,-550,-1.80,5,-300,-0.98,5,-1250,-4.09
20251205,30550,30900,29950,30550,132211,4028,0.33,100,2,218410,809680,-44.08,97.38,16.07,0.50,-5351,8691,-4383,2,100,0.33,2,450,1.48,5,-500,-1.64
20251204,30950,31500,30200,30450,236428,7275,1.33,400,2,218410,807030,29.54,76.34,16.07,0.89,-57239,23976,31777,2,900,3.00,2,1450,4.83,2,150,0.50
20251203,29250,30700,29200,30050,182518,5432,2.91,850,2,218410,796428,11.82,130.55,16.30,0.69,-4638,21420,-16846,2,50,0.17,2,1500,5.14,3,0,0.00
20251202,28450,29300,27850,29200,163228,4670,3.73,1050,2,218410,773901,-18.73,109.40,16.26,0.62,-5763,27106,-21727,2,300,1.07,2,1150,4.09,5,-300,-1.07
20251201,28050,28700,27750,28150,200849,5668,2.55,700,2,218410,746072,-3.33,74.18,16.24,0.76,-65925,40772,23757,2,600,2.19,2,1250,4.55,2,300,1.09
20251128,26750,27850,26400,27450,207758,5648,3.39,900,2,218410,727519,-9.23,115.59,16.28,0.78,-37899,41990,-6018,2,200,0.75,2,1300,4.90,5,-150,-0.56
20251127,26500,27400,25900,26550,228886,6112,0.95,250,2,218410,703666,36.08,82.34,16.43,0.86,-3086,-6161,9250,2,200,0.76,2,1100,4.18,5,-400,-1.52
20251126,26250,26450,25900,26300,168204,4401,1.35,350,2,218410,697041,-47.23,74.74,16.45,0.63,38541,-55961,22731,2,300,1.16,2,500,1.93,5,-50,-0.19
20251125,26950,27100,25600,25950,318726,8281,-1.33,350,5,218410,687764,41.89,72.35,16.32,1.20,134945,-184907,49077,2,650,2.47,2,800,3.04,5,-700,-2.66
20251124,27700,27850,25900,26300,224624,5939,-3.66,1000,5,218410,697041,-14.37,56.17,15.82,0.85,58461,-72992,12007,2,400,1.47,2,550,2.01,5,-1400,-5.13
20251121,28450,28900,27150,27300,262304,7228,-4.04,1150,5,218410,723544,61.36,56.20,15.61,0.99,17519,-84161,64883,3,0,0.00,2,450,1.58,5,-1300,-4.57
20251120,28750,29400,28450,28450,162561,4681,1.07,300,2,218410,754023,-20.45,75.01,15.53,0.61,-17493,-23687,39702,2,600,2.13,2,1250,4.44,2,300,1.07
20251119,28700,28850,27000,28150,204345,5743,-1.23,350,5,218410,746072,-49.45,90.81,15.61,0.77,-12479,7482,3807,2,200,0.70,2,350,1.23,5,-1500,-5.26
20251118,32200,32350,28350,28500,404259,12034,-6.56,2000,5,218410,755348,155.54,40.58,15.66,1.53,-133299,-14058,146318,2,1700,5.57,2,1850,6.07,5,-2150,-7.05
20251117,30800,30950,29700,30500,158201,4794,0.33,100,2,218410,808355,-39.07,78.85,16.24,0.60,17803,-15087,7711,2,400,1.32,2,550,1.81,5,-700,-2.30
20251114,30800,31250,30300,30400,259662,7958,-4.55,1450,5,218410,805705,3.16,62.04,16.16,0.98,-25560,57726,-26096,5,-1050,-3.30,5,-600,-1.88,5,-1550,-4.87
20251113,32400,32950,31600,31850,251707,8026,-2.60,850,5,218410,844135,-23.58,76.58,16.39,0.95,43729,-93482,50532,5,-300,-0.92,2,250,0.76,5,-1100,-3.36
20251112,33500,33550,31950,32700,329394,10652,-1.65,550,5,218410,866663,-6.63,75.53,16.23,1.24,39623,-76608,39005,2,250,0.75,2,300,0.90,5,-1300,-3.91
20251111,34650,35800,32700,33250,352789,12006,-0.45,150,5,218410,881239,113.43,73.57,16.08,1.33,-45691,15400,27370,2,1250,3.74,2,2400,7.19,5,-700,-2.10
20251110,34400,34400,32850,33400,165298,5545,-1.76,600,5,218410,885215,-61.61,52.68,16.27,0.62,-21147,3070,18003,2,400,1.18,2,400,1.18,5,-1150,-3.38
20251107,32200,34900,32050,34000,430554,14661,2.26,750,2,218410,901117,32.58,95.67,16.38,1.62,-42926,149831,-101607,5,-1050,-3.16,2,1650,4.96,5,-1200,-3.61
20251106,34400,34700,32200,33250,324758,10712,-2.35,800,5,218410,881239,-32.87,73.39,16.57,1.23,36670,-3739,-36022,2,350,1.03,2,650,1.91,5,-1850,-5.43
20251105,34600,35100,32800,34050,483740,16304,-7.35,2700,5,218410,902442,30.22,60.15,16.38,1.83,-25749,919,24234,5,-2150,-5.85,5,-1650,-4.49,5,-3950,-10.75
20251104,36400,36900,35450,36750,371483,13473,1.24,450,2,218410,974001,-48.49,90.29,16.43,1.40,-79530,42502,31789,2,100,0.28,2,600,1.65,5,-850,-2.34
20251103,34350,36400,33950,36300,721204,25590,8.68,2900,2,218410,962075,59.18,128.62,16.74,2.72,-129947,115053,944,2,950,2.84,2,3000,8.98,2,550,1.65
20251031,34850,35400,33400,33400,453068,15473,-6.57,2350,5,218410,885215,-52.53,57.23,17.25,1.71,-2203,4763,-952,5,-900,-2.52,5,-350,-0.98,5,-2350,-6.57
20251030,33650,36000,33400,35750,954430,33428,4.69,1600,2,218410,947498,-63.32,139.86,17.28,3.60,-47564,207416,-162114,5,-500,-1.46,2,1850,5.42,5,-750,-2.20
20251029,31500,35450,31100,34150,2601827,87683,22.18,6200,2,218410,905093,1247.36,133.67,17.54,9.82,144543,377594,-513935,2,3550,12.70,2,7500,26.83,2,3150,11.27
20251028,27950,28700,27250,27950,193106,5396,1.45,400,2,218410,740771,6.44,86.98,16.75,0.73,-60939,53226,7429,2,400,1.45,2,1150,4.17,5,-300,-1.09
20251027,27000,27950,26600,27550,181430,4926,2.04,550,2,218410,730170,30.61,101.57,16.97,0.68,14005,3887,-18141,3,0,0.00,2,950,3.52,5,-400,-1.48
