date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,60600,61800,60400,61100,6802,415,0.66,400,2,215000,383428,-30.92,73.14,21.65,0.11,0,0,0,5,-100,-0.16,2,1100,1.81,5,-300,-0.49
20251209,60600,61000,60400,60700,9846,596,-0.82,500,5,215000,380918,-36.18,41.50,21.65,0.16,-1592,-2132,3293,5,-600,-0.98,5,-200,-0.33,5,-800,-1.31
20251208,61600,62100,60800,61200,15428,944,-1.29,800,5,215000,384055,4.01,42.07,21.67,0.25,-3621,263,3044,5,-400,-0.65,2,100,0.16,5,-1200,-1.94
20251205,61200,62000,61000,62000,14833,915,1.14,700,2,215000,389076,15.24,92.80,21.78,0.24,-2910,2806,138,5,-100,-0.16,2,700,1.14,5,-300,-0.49
20251204,60900,61400,60900,61300,12871,788,0.33,200,2,215000,384683,-14.46,45.84,21.78,0.21,-2612,2455,200,5,-200,-0.33,2,300,0.49,5,-200,-0.33
20251203,60700,61200,60400,61100,15047,916,0.83,500,2,215000,383428,4.74,58.72,21.83,0.24,-1075,-730,-324,2,100,0.17,2,600,0.99,5,-200,-0.33
20251202,61200,61200,60000,60600,14366,867,0.00,0,3,215000,380290,45.77,60.54,21.78,0.23,-6499,2827,3634,2,600,0.99,2,600,0.99,5,-600,-0.99
20251201,60200,61000,60100,60600,9855,598,0.33,200,2,215000,380290,-15.93,68.06,21.89,0.16,1471,3164,-4635,5,-200,-0.33,2,600,0.99,5,-300,-0.50
20251128,60100,60600,59900,60400,11723,707,0.67,400,2,215000,379035,40.34,75.03,21.86,0.19,-455,3719,-2749,2,100,0.17,2,600,1.00,5,-100,-0.17
20251127,59300,60400,59200,60000,8353,500,0.84,500,2,215000,376525,-52.17,95.30,21.87,0.13,806,-1007,188,5,-200,-0.34,2,900,1.51,5,-300,-0.50
20251126,59200,60100,59100,59500,17463,1038,0.51,300,2,215000,373387,318.18,86.15,21.86,0.28,-1591,1270,349,3,0,0.00,2,900,1.52,5,-100,-0.17
20251125,59800,59900,59100,59200,4176,248,-0.17,100,5,215000,371505,-45.33,60.11,21.88,0.07,-809,231,552,2,500,0.84,2,600,1.01,5,-200,-0.34
20251124,59900,60000,59100,59300,7639,455,0.51,300,2,215000,372132,-5.47,55.55,21.89,0.12,-1051,531,524,2,900,1.53,2,1000,1.69,2,100,0.17
20251121,58800,59700,58500,59000,8081,478,0.34,200,2,215000,370249,-42.79,129.26,21.91,0.13,1167,-475,-702,3,0,0.00,2,900,1.53,5,-300,-0.51
20251120,58500,59500,58500,58800,14126,833,0.17,100,2,215000,368994,-51.71,122.76,21.90,0.23,1119,-2380,154,5,-200,-0.34,2,800,1.36,5,-200,-0.34
20251119,58800,59600,58100,58700,29252,1711,-0.17,100,5,215000,368367,60.39,105.82,21.88,0.47,-3680,-4290,7840,3,0,0.00,2,800,1.36,5,-700,-1.19
20251118,59200,59900,58500,58800,18238,1074,-1.67,1000,5,215000,368994,138.78,75.01,21.94,0.29,-6412,-3505,9628,5,-600,-1.00,2,100,0.17,5,-1300,-2.17
20251117,59800,60600,59300,59800,7638,456,-0.50,300,5,215000,375270,-30.46,52.24,22.04,0.12,-2737,-525,3344,5,-300,-0.50,2,500,0.83,5,-800,-1.33
20251114,60100,60900,60000,60100,10983,664,-1.31,800,5,215000,377152,-33.57,92.93,22.10,0.18,1828,-2796,861,5,-800,-1.31,3,0,0.00,5,-900,-1.48
20251113,60400,61200,60300,60900,16534,1003,-0.16,100,5,215000,382173,-41.24,67.02,22.07,0.26,-4125,-562,4508,5,-600,-0.98,2,200,0.33,5,-700,-1.15
20251112,60900,61000,59900,61000,28136,1699,0.33,200,2,215000,382800,131.84,60.00,22.17,0.45,4236,-7588,3072,2,100,0.16,2,200,0.33,5,-900,-1.48
20251111,59600,60800,59600,60800,12136,732,0.83,500,2,215000,381545,-35.33,161.50,22.04,0.19,5984,-37,-5956,5,-700,-1.16,2,500,0.83,5,-700,-1.16
20251110,59400,60400,59000,60300,18767,1125,3.25,1900,2,215000,378408,11.71,114.10,21.93,0.30,6796,-1713,-5377,2,1000,1.71,2,2000,3.42,2,600,1.03
20251107,59400,59400,58000,58400,16799,984,-0.51,300,5,215000,366484,6.50,54.39,21.88,0.27,-1762,-3171,4927,2,700,1.19,2,700,1.19,5,-700,-1.19
20251106,57700,59400,57700,58700,15773,928,1.56,900,2,215000,368367,-53.04,126.78,21.91,0.25,-483,-3956,4284,5,-100,-0.17,2,1600,2.77,5,-100,-0.17
20251105,57700,58300,56900,57800,33588,1934,0.52,300,2,215000,362719,61.93,85.74,21.93,0.54,2213,-14409,12415,2,200,0.35,2,800,1.39,5,-600,-1.04
20251104,57700,58200,57500,57500,20742,1197,-0.86,500,5,215000,360836,-24.40,43.13,21.90,0.33,-2578,-9018,10037,5,-300,-0.52,2,200,0.34,5,-500,-0.86
20251103,58600,59400,58000,58000,27435,1599,-2.36,1400,5,215000,363974,192.55,83.80,21.94,0.44,-11256,-4346,15354,5,-800,-1.35,3,0,0.00,5,-1400,-2.36
20251031,59800,60000,59400,59400,9378,558,-0.34,200,5,215000,372760,-3.62,41.47,22.12,0.15,-3677,105,3358,2,200,0.34,2,400,0.67,5,-200,-0.34
20251030,60000,60200,59500,59600,9730,582,-0.83,500,5,215000,374015,38.90,43.67,22.18,0.16,-6439,-571,6991,5,-100,-0.17,2,100,0.17,5,-600,-1.00
20251029,61000,61000,60000,60100,7005,421,-0.66,400,5,215000,377152,-48.29,78.19,22.32,0.11,-2944,622,2151,2,500,0.83,2,500,0.83,5,-500,-0.83
20251028,60800,60800,59900,60500,13547,815,0.67,400,2,215000,379663,46.09,85.16,22.39,0.22,2283,-3896,1559,2,700,1.16,2,700,1.16,5,-200,-0.33
20251027,59900,60800,59900,60100,9273,559,0.17,100,2,215000,377152,-21.38,120.13,22.35,0.15,829,733,-1682,5,-100,-0.17,2,800,1.33,5,-100,-0.17
