date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,253000,257500,249500,251000,81658,20626,-0.40,-1000,5,028260,42664113,-75.25,104.24,28.96,0.05,0,0,0,2,1000,0.40,2,5500,2.18,5,-2500,-0.99
20251209,251500,258500,250000,252000,329868,83344,0.20,500,2,028260,42834089,-32.46,129.70,28.96,0.19,55178,-30232,-25857,3,0,0.00,2,7000,2.78,5,-1500,-0.60
20251208,245000,258000,243000,251500,488434,123274,3.07,7500,2,028260,42749101,64.62,160.19,28.93,0.29,21374,17600,-37501,2,1000,0.41,2,14000,5.74,5,-1000,-0.41
20251205,240500,244500,236000,244000,296707,71799,1.46,3500,2,028260,41474277,-47.86,116.22,28.94,0.17,-46865,60448,-18138,3,0,0.00,2,4000,1.66,5,-4500,-1.87
20251204,241500,244000,237500,240500,559040,134026,-2.04,5000,5,028260,40879359,-40.18,119.06,28.94,0.33,-75087,61401,10792,5,-4000,-1.63,5,-1500,-0.61,5,-8000,-3.26
20251203,227500,252500,227500,245500,934576,229087,9.35,21000,2,028260,41729242,311.58,115.02,29.00,0.55,195450,28433,-217908,2,3000,1.34,2,28000,12.47,2,3000,1.34
20251202,228000,228500,222500,224500,227072,50961,-0.88,2000,5,028260,38159734,20.06,77.58,28.86,0.13,-30753,1718,31712,2,1500,0.66,2,2000,0.88,5,-4000,-1.77
20251201,226500,228500,222000,226500,189135,42565,0.67,1500,2,028260,38499687,-20.51,99.47,28.87,0.11,-11084,31354,-18601,2,1500,0.67,2,3500,1.56,5,-3000,-1.33
20251128,232500,232500,224000,225000,237929,53839,-2.81,6500,5,028260,38244722,-35.36,62.32,28.88,0.14,-50258,30267,25467,2,1000,0.43,2,1000,0.43,5,-7500,-3.24
20251127,237000,239000,230500,231500,368085,86002,-1.91,4500,5,028260,39349570,-40.34,111.24,28.91,0.22,-13579,18247,-11312,2,1000,0.42,2,3000,1.27,5,-5500,-2.33
20251126,234000,240500,229000,236000,616934,145926,3.28,7500,2,028260,40114464,31.77,156.01,28.93,0.36,82485,17744,-92567,2,5500,2.41,2,12000,5.25,2,500,0.22
20251125,225000,230500,223500,228500,468197,106180,4.82,10500,2,028260,38839640,-13.26,155.90,28.87,0.28,88853,13233,-94933,2,7000,3.21,2,12500,5.73,2,5500,2.52
20251124,222000,223000,213000,218000,539795,118118,0.93,2000,2,028260,37054887,32.01,137.05,28.81,0.32,18724,12151,-28189,2,6000,2.78,2,7000,3.24,5,-3000,-1.39
20251121,218000,222000,212000,216000,408920,88150,-3.57,8000,5,028260,36714934,25.61,95.99,28.80,0.24,1415,-24688,22977,5,-6000,-2.68,5,-2000,-0.89,5,-12000,-5.36
20251120,218000,226500,217500,224000,325542,72748,5.16,11000,2,028260,38074746,38.37,130.16,28.80,0.19,69056,-11149,-61859,2,5000,2.35,2,13500,6.34,2,4500,2.11
20251119,218000,218000,208500,213000,235263,49964,-0.70,1500,5,028260,36205004,-10.28,74.61,28.76,0.14,2898,6220,-7407,2,3500,1.63,2,3500,1.63,5,-6000,-2.80
20251118,218500,221500,212000,214500,262223,56474,-2.72,6000,5,028260,36459969,67.32,79.40,28.76,0.15,54329,-25348,-24426,5,-2000,-0.91,2,1000,0.45,5,-8500,-3.85
20251117,220500,224000,218000,220500,156718,34577,0.46,1000,2,028260,37479828,-23.58,69.81,28.72,0.09,33549,-34793,7817,2,1000,0.46,2,4500,2.05,5,-1500,-0.68
20251114,221000,223500,218500,219500,205063,45146,-2.44,5500,5,028260,37309851,-23.85,68.04,28.70,0.12,49493,-52795,3607,5,-4000,-1.78,5,-1500,-0.67,5,-6500,-2.89
