date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,6950,6990,6750,6780,270715,1849,-3.42,-240,5,025320,594833,23.37,67.64,2.61,0.31,0,0,0,5,-70,-1.00,5,-30,-0.43,5,-270,-3.85
20251209,7030,7040,6920,7020,219433,1530,-0.43,30,5,025320,615889,-40.61,112.21,2.61,0.25,53763,-22875,-30968,5,-20,-0.28,5,-10,-0.14,5,-130,-1.84
20251208,6970,7050,6900,7050,369483,2581,1.15,80,2,025320,618521,3.10,111.49,2.57,0.42,112861,1797,-114091,3,0,0.00,2,80,1.15,5,-70,-1.00
20251205,6890,7090,6860,6970,358383,2491,1.16,80,2,025320,611503,7.97,110.05,2.45,0.41,33588,51747,-84823,3,0,0.00,2,200,2.90,5,-30,-0.44
20251204,6770,6900,6710,6890,331916,2266,1.32,90,2,025320,604484,-11.58,99.99,2.45,0.38,13889,66326,-79321,5,-30,-0.44,2,100,1.47,5,-90,-1.32
20251203,6690,6810,6630,6800,375385,2535,1.49,100,2,025320,596588,-23.46,123.03,2.43,0.43,161510,18374,-177940,5,-10,-0.15,2,110,1.64,5,-70,-1.04
20251202,6420,6700,6360,6700,490434,3215,4.20,270,2,025320,587815,-24.38,158.51,2.13,0.56,134561,66322,-200703,5,-10,-0.16,2,270,4.20,5,-70,-1.09
20251201,6460,6580,6390,6430,648541,4200,4.21,260,2,025320,564127,-4.04,87.64,1.94,0.74,27203,88375,-115199,2,290,4.70,2,410,6.65,2,220,3.57
20251128,5950,6190,5940,6170,675879,4134,4.58,270,2,025320,541316,445.34,110.89,1.90,0.77,184094,84533,-269489,2,50,0.85,2,290,4.92,2,40,0.68
20251127,5910,5950,5860,5900,123937,732,0.51,30,2,025320,517628,-38.68,92.43,1.66,0.14,23963,-14375,-11889,2,40,0.68,2,80,1.36,5,-10,-0.17
20251126,5830,5890,5790,5870,202112,1182,1.21,70,2,025320,514996,-25.57,145.77,1.65,0.23,94543,4730,-90621,2,30,0.52,2,90,1.55,5,-10,-0.17
20251125,5900,5950,5730,5800,271529,1591,-0.17,10,5,025320,508855,60.83,86.28,1.53,0.31,48594,4133,-53265,2,90,1.55,2,140,2.41,5,-80,-1.38
20251124,5890,5890,5750,5810,168833,982,0.00,0,3,025320,509732,-66.14,82.33,1.46,0.19,11192,27479,-23913,2,80,1.38,2,80,1.38,5,-60,-1.03
20251121,5860,5910,5750,5810,498659,2907,-4.13,250,5,025320,509732,34.66,54.60,1.46,0.57,-68267,4520,61707,5,-200,-3.30,5,-150,-2.48,5,-310,-5.12
20251120,5980,6150,5980,6060,370320,2244,2.54,150,2,025320,531665,27.40,138.33,1.56,0.42,178345,-30432,-143412,2,70,1.18,2,240,4.06,2,70,1.18
20251119,6000,6060,5880,5910,290679,1725,-1.83,110,5,025320,518505,-43.92,66.58,1.21,0.33,-27982,1913,62740,5,-20,-0.33,2,40,0.66,5,-140,-2.33
20251118,6190,6270,5970,6020,518327,3143,-4.44,280,5,025320,528156,-12.86,62.18,1.16,0.59,-228615,-14662,233039,5,-110,-1.75,5,-30,-0.48,5,-330,-5.24
20251117,6040,6350,6040,6300,594819,3724,5.53,330,2,025320,552721,38.74,184.73,1.35,0.68,200684,-3901,-191659,2,70,1.17,2,380,6.37,2,70,1.17
20251114,6010,6080,5900,5970,428723,2567,-2.93,180,5,025320,523769,44.43,42.58,1.04,0.49,-84895,-17264,129367,5,-140,-2.28,5,-70,-1.14,5,-250,-4.07
20251113,6120,6220,6060,6150,296845,1818,0.99,60,2,025320,539561,-1.35,114.54,1.25,0.34,-13227,-7571,17258,2,30,0.49,2,130,2.13,5,-30,-0.49
20251112,6020,6130,6000,6090,300922,1826,1.33,80,2,025320,534297,-3.88,168.52,1.28,0.34,100902,-43097,-61879,2,10,0.17,2,120,2.00,5,-10,-0.17
20251111,6100,6210,5950,6010,313081,1903,-0.99,60,5,025320,527279,30.26,53.63,1.14,0.36,-97640,-1858,110317,2,30,0.49,2,140,2.31,5,-120,-1.98
20251110,5990,6080,5950,6070,240351,1449,2.36,140,2,025320,532543,-60.74,149.45,1.27,0.27,24065,36865,-60918,2,60,1.01,2,150,2.53,2,20,0.34
20251107,5970,6070,5840,5930,612135,3623,-2.95,180,5,025320,520260,82.66,60.65,1.26,0.70,49491,-14235,-31807,5,-140,-2.29,5,-40,-0.65,5,-270,-4.42
20251106,6260,6370,6090,6110,335121,2074,-0.65,40,5,025320,536052,-78.81,68.99,1.23,0.38,-51251,-8892,64183,2,110,1.79,2,220,3.58,5,-60,-0.98
20251105,6470,6480,5980,6150,1581207,9674,-5.38,350,5,025320,539561,431.64,69.74,1.31,1.80,180330,13663,-185382,5,-30,-0.46,5,-20,-0.31,5,-520,-8.00
20251104,6490,6560,6460,6500,297419,1935,0.00,0,3,025320,570268,-27.55,86.05,1.15,0.34,29674,-1014,-19474,5,-10,-0.15,2,60,0.92,5,-40,-0.62
20251103,6560,6660,6480,6500,410529,2695,-0.76,50,5,025320,570268,46.37,44.35,1.12,0.47,-70959,20360,95138,2,10,0.15,2,110,1.68,5,-70,-1.07
20251031,6550,6650,6520,6550,280475,1848,0.00,0,3,025320,574655,-41.80,75.55,1.18,0.32,-45034,84639,-43175,3,0,0.00,2,100,1.53,5,-30,-0.46
20251030,6620,6640,6430,6550,481907,3159,-1.06,70,5,025320,574655,33.10,70.74,1.25,0.55,21797,4182,-52006,3,0,0.00,2,20,0.30,5,-190,-2.87
20251029,6680,6690,6550,6620,362052,2389,-0.45,30,5,025320,580796,21.11,70.84,1.25,0.41,44854,16186,-69931,2,30,0.45,2,40,0.60,5,-100,-1.50
20251028,6700,6710,6610,6650,298937,1989,-0.45,30,5,025320,583428,-31.46,55.82,1.24,0.34,-50482,12672,34116,2,20,0.30,2,30,0.45,5,-70,-1.05
20251027,6720,6780,6660,6680,436176,2925,0.00,0,3,025320,586060,30.31,75.43,1.35,0.50,84686,5079,-81602,2,40,0.60,2,100,1.50,5,-20,-0.30
