date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,58500,59500,58200,58900,13189,776,0.17,100,2,131290,651518,-74.22,86.16,10.53,0.12,0,0,0,5,-300,-0.51,2,700,1.19,5,-600,-1.02
20251209,60200,60200,58200,58800,51153,3006,-2.33,1400,5,131290,650412,-19.48,78.15,10.53,0.46,-3537,9557,-5979,3,0,0.00,3,0,0.00,5,-2000,-3.32
20251208,59500,60300,58400,60200,63526,3780,0.84,500,2,131290,665898,-35.37,100.30,10.56,0.57,269,16319,-11788,5,-200,-0.34,2,600,1.01,5,-1300,-2.18
20251205,59700,60700,58800,59700,98287,5856,-1.00,-600,5,131290,660367,13.49,137.50,10.53,0.89,2044,17556,-19875,5,-600,-1.00,2,400,0.66,5,-1500,-2.49
20251204,60900,62000,59500,60300,86602,5234,-2.90,1800,5,131290,667004,-25.17,104.16,10.53,0.78,-1034,19201,-18533,5,-1200,-1.93,5,-100,-0.16,5,-2600,-4.19
20251203,60500,62800,59700,62100,115738,7114,3.85,2300,2,131290,686915,-8.70,135.95,10.55,1.05,-15615,59323,-43032,2,700,1.17,2,3000,5.02,5,-100,-0.17
20251202,58300,60800,58300,59800,126763,7558,1.53,900,2,131290,661473,-27.44,167.81,10.71,1.15,8547,40454,-48949,5,-600,-1.02,2,1900,3.23,5,-600,-1.02
20251201,56500,60000,55700,58900,174698,10154,5.18,2900,2,131290,651518,161.36,125.81,10.63,1.58,18870,52645,-69501,2,500,0.89,2,4000,7.14,5,-300,-0.54
20251128,54100,56200,53700,56000,66842,3707,2.38,1300,2,131290,619440,-50.92,136.51,10.46,0.60,-33,35004,-35289,5,-600,-1.10,2,1500,2.74,5,-1000,-1.83
20251127,52200,56000,51700,54700,136202,7472,5.19,2700,2,131290,605060,107.64,155.27,10.46,1.23,16352,38870,-53531,2,200,0.38,2,4000,7.69,5,-300,-0.58
20251126,52300,53100,50800,52000,65594,3397,2.16,1100,2,131290,575194,-23.61,99.76,10.24,0.59,-8473,23692,-15752,2,1400,2.75,2,2200,4.32,5,-100,-0.20
20251125,49400,52000,48850,50900,85869,4377,6.37,3050,2,131290,563027,44.31,104.74,10.31,0.78,25419,21219,-47234,2,1550,3.24,2,4150,8.67,2,1000,2.09
20251124,46600,48150,45800,47850,59502,2818,3.80,1750,2,131290,529289,-64.77,98.65,10.01,0.54,15724,4468,-20619,2,500,1.08,2,2050,4.45,5,-300,-0.65
20251121,48150,48850,45800,46100,168907,7872,-11.18,5800,5,131290,509932,100.10,73.48,9.85,1.53,6615,-22091,15664,5,-3750,-7.23,5,-3050,-5.88,5,-6100,-11.75
20251120,54900,54900,51600,51900,84412,4415,-2.26,1200,5,131290,574088,-9.19,58.03,9.90,0.76,5856,-38103,30911,2,1800,3.39,2,1800,3.39,5,-1500,-2.82
20251119,52300,54400,50100,53100,92959,4898,1.14,600,2,131290,587362,86.88,93.32,9.85,0.84,15174,-8509,-7361,5,-200,-0.38,2,1900,3.62,5,-2400,-4.57
20251118,54000,55500,52100,52500,49743,2653,-3.85,2100,5,131290,580725,-58.60,84.35,9.68,0.45,3659,-8747,4882,5,-600,-1.10,2,900,1.65,5,-2500,-4.58
20251117,52200,54800,52100,54600,120143,6462,7.06,3600,2,131290,603954,-38.44,234.07,9.61,1.09,22477,20053,-42651,2,1200,2.35,2,3800,7.45,2,1100,2.16
20251114,55700,55900,50600,51000,195177,10252,-12.37,7200,5,131290,564133,21.29,57.59,9.28,1.76,-94173,-2488,93464,5,-2500,-4.30,5,-2300,-3.95,5,-7600,-13.06
20251113,54000,58800,53100,58200,160923,9113,6.79,3700,2,131290,643775,91.85,144.51,10.40,1.45,-40685,18359,21675,5,-500,-0.92,2,4300,7.89,5,-1400,-2.57
20251112,56600,56900,54000,54500,83879,4588,-2.85,1600,5,131290,602848,-44.35,80.40,10.79,0.76,-27881,-5842,32551,2,500,0.89,2,800,1.43,5,-2100,-3.74
20251111,54000,57700,53800,56100,150739,8488,4.28,2300,2,131290,620546,78.98,140.36,11.06,1.36,-11679,26210,-12448,2,200,0.37,2,3900,7.25,3,0,0.00
20251110,53800,54500,51300,53800,84221,4504,2.09,1100,2,131290,595105,-8.18,64.64,11.16,0.76,-17090,1242,18666,2,1100,2.09,2,1800,3.42,5,-1400,-2.66
20251107,53000,54400,51800,52700,91721,4860,-2.77,1500,5,131290,582937,-62.88,46.62,11.33,0.83,-21082,4104,19600,5,-1200,-2.21,2,200,0.37,5,-2400,-4.43
20251106,49650,56500,49500,54200,247076,13225,10.95,5350,2,131290,599529,111.44,184.89,11.55,2.23,37436,22118,-62031,2,800,1.64,2,7650,15.66,2,650,1.33
20251105,50300,50900,46800,48850,116855,5637,-5.69,2950,5,131290,540351,115.73,90.63,11.10,1.06,-1983,-13725,15538,5,-1500,-2.90,5,-900,-1.74,5,-5000,-9.65
20251104,51900,53200,51400,51800,54167,2828,0.39,200,2,131290,572982,-33.77,86.31,11.07,0.49,2852,-903,-2204,2,300,0.58,2,1600,3.10,5,-200,-0.39
20251103,51700,52000,50400,51600,81788,4187,-0.58,300,5,131290,570770,17.99,75.78,11.06,0.74,20571,-19891,-1124,5,-200,-0.39,2,100,0.19,5,-1500,-2.89
20251031,52800,53000,50500,51900,69316,3580,1.57,800,2,131290,574088,-5.20,66.27,10.86,0.63,-27352,3008,21904,2,1700,3.33,2,1900,3.72,5,-600,-1.17
20251030,50500,51500,49350,51100,73119,3710,1.59,800,2,131290,565239,38.20,89.94,11.14,0.66,14757,-1444,-13339,2,200,0.40,2,1200,2.39,5,-950,-1.89
20251029,49650,50700,49300,50300,52908,2647,1.72,850,2,131290,556390,20.71,111.71,11.00,0.48,2333,6117,-8448,2,200,0.40,2,1250,2.53,5,-150,-0.30
20251028,50900,51200,49050,49450,43832,2179,-2.08,1050,5,131290,546988,24.44,49.78,10.99,0.40,2767,-12923,10138,2,400,0.79,2,700,1.39,5,-1450,-2.87
20251027,51400,52100,50000,50500,35222,1786,0.40,200,2,131290,558602,7.49,69.05,11.00,0.32,-2939,1375,1465,2,1100,2.19,2,1800,3.58,5,-300,-0.60
