date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,213000,213000,208000,209000,39214,8221,-2.56,-5500,5,267250,16509555,-75.59,93.91,25.38,0.05,0,0,0,5,-1500,-0.70,5,-1500,-0.70,5,-6500,-3.03
20251209,209500,214500,206000,214500,160673,34061,3.37,7000,2,267250,16944017,39.85,133.03,25.38,0.20,10580,6551,-17086,2,2000,0.96,2,7000,3.37,5,-1500,-0.72
20251208,206000,210000,204500,207500,114888,23731,-0.48,1000,5,267250,16391065,-18.35,90.72,25.37,0.15,22848,-14613,-8451,5,-2500,-1.20,2,1500,0.72,5,-4000,-1.92
20251205,206000,209500,203500,208500,140708,29184,0.48,1000,2,267250,16470058,-34.64,108.04,25.38,0.18,2737,5672,-8235,5,-1500,-0.72,2,2000,0.96,5,-4000,-1.93
20251204,206500,209000,201000,207500,211093,43280,3.49,7000,2,267250,16391065,-23.09,155.24,25.38,0.27,22604,-1013,-20205,2,6000,2.99,2,8500,4.24,2,500,0.25
20251203,191200,204000,189400,200500,274467,54388,5.30,10100,2,267250,15838114,24.25,132.20,25.37,0.35,2881,27179,-29903,2,800,0.42,2,13600,7.14,5,-1000,-0.53
20251202,188800,190500,184000,190400,220891,41819,1.12,2100,2,267250,15040283,-16.70,89.18,25.35,0.28,15838,-9183,-6397,2,500,0.27,2,2200,1.17,5,-4300,-2.28
20251201,199100,199900,186100,188300,265176,50066,-4.17,8200,5,267250,14874398,22.15,68.02,25.33,0.34,62643,-84691,22666,2,2600,1.32,2,3400,1.73,5,-10400,-5.29
20251128,204000,204000,194000,196500,217091,42752,-2.48,5000,5,267250,15522141,197.10,75.63,25.25,0.27,3491,-7243,4836,2,2500,1.24,2,2500,1.24,5,-7500,-3.72
20251127,204500,205500,200000,201500,73071,14778,-1.23,2500,5,267250,15917107,-52.90,44.42,25.25,0.09,2954,-12385,9470,2,500,0.25,2,1500,0.74,5,-4000,-1.96
20251126,207500,208000,199550,204000,155125,31483,0.74,1500,2,267250,16114589,8.44,79.89,25.25,0.20,12936,-7962,-1762,2,5000,2.47,2,5500,2.72,5,-2950,-1.46
20251125,205000,208000,201500,202500,143048,29128,1.00,2000,2,267250,15996100,-51.96,97.06,25.24,0.18,24916,-14237,-10141,2,4500,2.24,2,7500,3.74,2,1000,0.50
20251124,208000,209000,200500,200500,297744,60185,-1.47,3000,5,267250,15838114,95.68,91.23,25.21,0.38,-5262,2707,3698,2,4500,2.21,2,5500,2.70,5,-3000,-1.47
20251121,208000,208000,201000,203500,152161,31021,-4.68,10000,5,267250,16075093,1.60,87.00,25.22,0.19,-21388,17295,4454,5,-5500,-2.58,5,-5500,-2.58,5,-12500,-5.85
20251120,213500,219000,213000,213500,149763,32308,1.91,4000,2,267250,16865024,-21.36,85.57,25.25,0.19,10442,6089,-16817,2,4000,1.91,2,9500,4.53,2,3500,1.67
20251119,221000,221000,205500,209500,190453,40181,-3.68,8000,5,267250,16549051,28.36,73.26,25.24,0.24,10785,-14069,3733,2,3500,1.61,2,3500,1.61,5,-12000,-5.52
20251118,221000,229500,217500,217500,148375,32829,-3.97,9000,5,267250,17180996,-29.82,96.54,25.24,0.19,10260,-9879,1300,5,-5500,-2.43,2,3000,1.32,5,-9000,-3.97
20251117,217000,229500,216500,226500,211406,47684,5.35,11500,2,267250,17891934,31.28,126.39,25.23,0.27,25015,2569,-26995,2,2000,0.93,2,14500,6.74,2,1500,0.70
20251114,216000,220000,214000,215000,161030,34916,-4.87,11000,5,267250,16983513,-27.37,96.29,25.19,0.20,3646,-15547,12534,5,-10000,-4.42,5,-6000,-2.65,5,-12000,-5.31
20251113,222500,229000,219000,226000,221699,49942,0.67,1500,2,267250,17852437,19.31,133.74,25.21,0.28,5260,21670,-26735,5,-2000,-0.89,2,4500,2.00,5,-5500,-2.45
20251112,223500,225500,217000,224500,185820,41441,2.28,5000,2,267250,17733948,-2.91,111.23,25.20,0.24,800,12944,-12709,2,4000,1.82,2,6000,2.73,5,-2500,-1.14
20251111,226500,226500,217000,219500,191394,42277,-0.68,1500,5,267250,17338982,-21.94,71.57,25.19,0.24,19642,-10989,-7510,2,5500,2.49,2,5500,2.49,5,-4000,-1.81
20251110,213500,225000,211500,221000,245193,54407,6.51,13500,2,267250,17457472,28.93,154.42,25.18,0.31,-16318,73693,-57593,2,6000,2.89,2,17500,8.43,2,4000,1.93
20251107,217000,217500,203000,207500,190170,39610,-4.16,9000,5,267250,16391065,-47.90,97.02,25.19,0.24,-18435,7158,10826,2,500,0.23,2,1000,0.46,5,-13500,-6.24
20251106,210000,225000,204500,216500,365028,78707,6.65,13500,2,267250,17102003,11.75,124.31,25.23,0.46,4633,46200,-51399,2,7000,3.45,2,22000,10.84,2,1500,0.74
20251105,212500,213500,199100,203000,326651,66159,-3.56,7500,5,267250,16035596,13.54,99.30,25.22,0.41,-2235,20997,-19158,2,2000,0.95,2,3000,1.43,5,-11400,-5.42
20251104,230000,230000,209500,210500,287693,62330,-3.88,8500,5,267250,16628044,11.38,63.22,25.21,0.36,-66348,2082,64015,2,11000,5.02,2,11000,5.02,5,-9500,-4.34
20251103,211000,221500,211000,219000,258295,56244,6.83,14000,2,267250,17299486,28.47,151.59,25.31,0.33,4590,20404,-32695,2,6000,2.93,2,16500,8.05,2,6000,2.93
20251031,207500,212000,205000,205000,201062,41723,-2.38,5000,5,267250,16193582,-47.91,72.65,25.29,0.25,-20962,9191,10269,5,-2500,-1.19,2,2000,0.95,5,-5000,-2.38
20251030,231000,237000,207500,210000,385974,83107,0.24,500,2,267250,16588548,88.96,66.23,25.30,0.49,-70926,-61238,130449,2,21500,10.26,2,27500,13.13,5,-2000,-0.95
20251029,212000,212500,201000,209500,204257,42275,1.21,2500,2,267250,16549051,-18.89,106.26,25.41,0.26,-27499,8739,18172,2,5000,2.42,2,5500,2.66,5,-6000,-2.90
20251028,210000,212000,204000,207000,251822,52144,-2.59,5500,5,267250,16351569,-57.54,75.40,25.45,0.32,-10770,-12030,22006,5,-2500,-1.18,5,-500,-0.24,5,-8500,-4.00
20251027,215000,219500,200000,212500,593108,124531,17.02,30900,2,267250,16786031,247.58,75.02,25.46,0.75,-44335,-27154,68366,2,33400,18.39,2,37900,20.87,2,18400,10.13
