date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,15590,15590,15420,15500,142486,2207,-0.26,-40,5,138930,4873590,-79.82,90.09,39.14,0.05,0,0,0,2,50,0.32,2,50,0.32,5,-120,-0.77
20251209,15600,15670,15290,15540,706184,10919,-0.38,60,5,138930,4886167,25.13,67.57,39.14,0.22,-114343,137967,-22452,3,0,0.00,2,70,0.45,5,-310,-1.99
20251208,15730,15740,15380,15600,564348,8749,-0.70,110,5,138930,4905032,-21.23,86.85,39.18,0.18,-88508,54517,33475,2,20,0.13,2,30,0.19,5,-330,-2.10
20251205,15430,15740,15360,15710,716478,11149,1.29,200,2,138930,4939619,-24.72,112.15,39.19,0.23,20508,128267,-148950,5,-80,-0.52,2,230,1.48,5,-150,-0.97
20251204,15510,15600,15110,15510,951755,14698,-0.58,90,5,138930,4876734,-10.28,95.16,39.19,0.30,199012,89344,68944,5,-90,-0.58,3,0,0.00,5,-490,-3.14
20251203,15540,15820,15450,15600,1060846,16615,-0.13,20,5,138930,4905032,-13.04,147.61,39.12,0.34,414411,107899,-63156,5,-80,-0.51,2,200,1.28,5,-170,-1.09
20251202,15300,15910,15220,15620,1219948,19156,2.09,320,2,138930,4911321,24.27,129.53,38.99,0.39,163715,181641,-219955,3,0,0.00,2,610,3.99,5,-80,-0.52
20251201,15100,15380,15040,15300,981692,14960,1.66,250,2,138930,4810705,91.23,124.28,38.92,0.31,-161024,253543,-95212,2,50,0.33,2,330,2.19,5,-10,-0.07
20251128,15240,15240,14930,15050,513369,7725,0.13,20,2,138930,4732099,12.15,85.11,38.97,0.16,-22643,47758,-25345,2,210,1.40,2,210,1.40,5,-100,-0.67
20251127,15060,15320,15020,15030,457735,6932,-1.12,170,5,138930,4725810,-35.67,96.80,38.98,0.15,7587,79156,-86630,5,-140,-0.92,2,120,0.79,5,-180,-1.18
20251126,14940,15200,14870,15200,711508,10723,2.49,370,2,138930,4779262,11.74,102.83,38.98,0.23,130075,57087,-186493,2,110,0.74,2,370,2.49,2,40,0.27
20251125,14920,15050,14700,14830,636743,9457,0.14,20,2,138930,4662925,-29.80,81.53,38.93,0.20,-11646,42911,-30854,2,110,0.74,2,240,1.62,5,-110,-0.74
20251124,15060,15190,14730,14810,907026,13474,-0.74,110,5,138930,4656637,49.49,75.39,38.94,0.29,5856,-120465,116813,2,140,0.94,2,270,1.81,5,-190,-1.27
20251121,15110,15110,14740,14920,606741,9014,-0.40,60,5,138930,4691223,-6.73,89.17,38.94,0.19,-136581,210156,-69548,2,130,0.87,2,130,0.87,5,-240,-1.60
20251120,14860,15140,14860,14980,650501,9772,0.88,130,2,138930,4710089,-19.96,80.48,38.98,0.21,49921,35482,-79073,2,10,0.07,2,290,1.95,2,10,0.07
20251119,14990,15010,14640,14850,812744,12069,0.34,50,2,138930,4669214,-15.87,68.64,38.97,0.26,88850,36349,-112992,2,190,1.28,2,210,1.42,5,-160,-1.08
20251118,14980,15080,14750,14800,966101,14355,-2.05,310,5,138930,4653492,50.33,98.00,38.94,0.31,147820,-70867,-76551,5,-130,-0.86,5,-30,-0.20,5,-360,-2.38
20251117,15250,15310,15050,15110,642645,9739,-1.88,290,5,138930,4750964,-39.94,48.44,38.90,0.20,14278,-43366,30277,5,-150,-0.97,5,-90,-0.58,5,-350,-2.27
20251114,15240,15640,15030,15400,1069936,16526,0.92,140,2,138930,4842147,-22.12,118.46,38.88,0.34,105346,236087,-345537,5,-20,-0.13,2,380,2.49,5,-230,-1.51
20251113,15480,15620,15260,15260,1373844,21106,-2.30,360,5,138930,4798128,2.20,77.85,39.06,0.44,210702,-245169,199844,5,-140,-0.90,3,0,0.00,5,-360,-2.30
20251112,15110,15620,15050,15620,1344209,20793,3.24,490,2,138930,4911321,88.85,130.25,39.00,0.43,479122,262059,-317789,5,-20,-0.13,2,490,3.24,5,-80,-0.53
20251111,15210,15500,15050,15130,711778,10812,-1.94,300,5,138930,4757253,-42.98,78.87,38.83,0.23,-120265,36738,89732,5,-220,-1.43,2,70,0.45,5,-380,-2.46
20251110,14980,15470,14960,15430,1248253,19131,5.04,740,2,138930,4851580,27.06,166.63,38.88,0.40,100590,458412,-552033,2,290,1.97,2,780,5.31,2,270,1.84
20251107,15040,15190,14530,14690,982389,14537,-1.74,260,5,138930,4618906,-39.20,80.55,38.83,0.31,-102180,121245,-10427,2,90,0.60,2,240,1.61,5,-420,-2.81
20251106,14600,15040,14450,14950,1615682,23849,3.46,500,2,138930,4700656,66.38,130.41,38.87,0.51,457285,-19217,-431349,2,150,1.04,2,590,4.08,3,0,0.00
20251105,14570,14600,14090,14450,971052,13899,0.14,20,2,138930,4543443,-14.14,96.58,38.81,0.31,-102406,136895,-29259,2,140,0.97,2,170,1.18,5,-340,-2.36
20251104,14150,14500,14080,14430,1131009,16181,1.76,250,2,138930,4537155,-5.65,112.94,39.03,0.36,138051,-38426,-96438,5,-30,-0.21,2,320,2.26,5,-100,-0.71
20251103,13820,14340,13820,14180,1198749,16957,2.68,370,2,138930,4458549,-4.44,107.80,38.89,0.38,391875,-70583,-320379,2,10,0.07,2,530,3.84,2,10,0.07
20251031,13920,14030,13650,13810,1254487,17398,-0.07,10,5,138930,4342211,-8.06,82.33,38.74,0.40,-62686,-81649,134555,2,100,0.72,2,210,1.52,5,-170,-1.23
20251030,13810,14140,13780,13820,1364443,18946,-0.86,120,5,138930,4345356,16.12,83.23,38.76,0.43,267608,-310273,62739,5,-130,-0.93,2,200,1.43,5,-160,-1.15
20251029,14200,14270,13800,13940,1175008,16322,-1.20,170,5,138930,4383087,9.23,69.16,38.68,0.37,57968,-177550,116716,2,90,0.64,2,160,1.13,5,-310,-2.20
20251028,14180,14230,13950,14110,1075743,15126,-0.84,120,5,138930,4436539,-31.96,67.24,38.66,0.34,161209,-380098,201611,5,-50,-0.35,3,0,0.00,5,-280,-1.97
20251027,14070,14290,14060,14230,1581050,22400,0.64,90,2,138930,4474270,45.54,113.29,38.61,0.50,-31416,7280,44886,5,-70,-0.50,2,150,1.06,5,-80,-0.57
