date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,53300,53300,52600,52900,8880,470,-0.56,-300,5,192080,1137133,-38.56,75.27,18.07,0.04,0,0,0,2,100,0.19,2,100,0.19,5,-600,-1.13
20251209,52800,53500,52800,53200,14452,768,0.38,200,2,192080,1143582,-42.04,80.59,18.07,0.07,-637,3712,-3076,5,-200,-0.38,2,500,0.94,5,-200,-0.38
20251208,53900,54200,52500,53000,24935,1327,-2.57,1400,5,192080,1139283,5.04,61.57,18.07,0.12,227,-327,126,5,-500,-0.92,5,-200,-0.37,5,-1900,-3.49
20251205,53800,54500,53400,54400,23738,1282,0.37,200,2,192080,1169377,-17.29,81.64,18.10,0.11,-5413,10879,-5428,5,-400,-0.74,2,300,0.55,5,-800,-1.48
20251204,54600,54700,53500,54200,28699,1547,-1.09,600,5,192080,1165078,37.37,52.21,18.10,0.13,-5195,-557,6456,5,-200,-0.36,5,-100,-0.18,5,-1300,-2.37
20251203,54500,55000,54200,54800,20892,1140,0.55,300,2,192080,1177976,0.23,119.37,18.13,0.10,655,1716,-2757,3,0,0.00,2,500,0.92,5,-300,-0.55
20251202,54000,54600,53900,54500,20845,1131,0.55,300,2,192080,1171527,-64.05,128.00,18.12,0.10,-4019,5854,-1886,5,-200,-0.37,2,400,0.74,5,-300,-0.55
20251201,53400,54800,53000,54200,57979,3143,2.85,1500,2,192080,1165078,118.11,177.99,18.14,0.27,-915,17048,-15127,2,700,1.33,2,2100,3.98,2,300,0.57
20251128,52300,53000,52300,52700,26583,1402,0.38,200,2,192080,1132834,50.09,122.75,18.13,0.12,-4193,11765,-7571,5,-200,-0.38,2,500,0.95,5,-200,-0.38
20251127,52500,53000,52000,52500,17711,930,-0.38,200,5,192080,1128535,-29.57,65.59,18.15,0.08,1426,2850,-4192,5,-200,-0.38,2,300,0.57,5,-700,-1.33
20251126,52000,52800,51800,52700,25147,1319,1.93,1000,2,192080,1132834,-18.47,102.22,18.14,0.12,4238,6894,-11146,2,300,0.58,2,1100,2.13,2,100,0.19
20251125,51900,52200,51100,51700,30843,1591,-0.19,100,5,192080,1111338,-36.73,104.93,18.11,0.14,-1680,1380,-295,2,100,0.19,2,400,0.77,5,-700,-1.35
20251124,52200,52400,51300,51800,48746,2521,0.00,0,3,192080,1113488,44.81,79.56,18.13,0.23,-1207,5765,-3341,2,400,0.77,2,600,1.16,5,-500,-0.97
20251121,53100,53100,51300,51800,33661,1742,-1.71,900,5,192080,1113488,9.69,125.96,18.14,0.16,1483,282,-2206,2,400,0.76,2,400,0.76,5,-1400,-2.66
20251120,52300,53400,52200,52700,30686,1625,0.19,100,2,192080,1132834,-18.19,96.70,18.13,0.14,-821,12020,-10424,5,-300,-0.57,2,800,1.52,5,-400,-0.76
20251119,52000,52900,51700,52600,37509,1966,2.14,1100,2,192080,1130685,2.39,116.31,18.14,0.17,-227,10782,-10476,2,500,0.97,2,1400,2.72,2,200,0.39
20251118,52000,52400,51100,51500,36635,1888,-1.72,900,5,192080,1107039,16.53,110.38,18.12,0.17,-3093,3591,-430,5,-400,-0.76,3,0,0.00,5,-1300,-2.48
20251117,52100,52600,51600,52400,31437,1642,0.38,200,2,192080,1126385,-62.28,84.26,18.14,0.15,4896,572,-5359,5,-100,-0.19,2,400,0.77,5,-600,-1.15
20251114,51500,53200,51300,52200,83352,4385,0.97,500,2,192080,1122086,167.33,118.62,18.12,0.39,4889,8850,-13836,5,-200,-0.39,2,1500,2.90,5,-400,-0.77
20251113,51600,52300,51500,51700,31180,1618,-0.58,300,5,192080,1111338,-19.91,118.48,18.17,0.15,-3635,1514,2317,5,-400,-0.77,2,300,0.58,5,-500,-0.96
