date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,14720,15600,14720,15460,116823,1790,5.10,750,2,032500,632779,47.52,243.00,5.20,0.29,0,0,0,2,10,0.07,2,890,6.05,2,10,0.07
20251209,14890,14940,14700,14710,79191,1170,-1.21,180,5,032500,602082,-21.49,49.20,5.20,0.19,2336,-11518,8951,3,0,0.00,2,50,0.34,5,-190,-1.28
20251208,15060,15080,14820,14890,100871,1504,-1.59,240,5,032500,609449,-55.21,58.32,5.19,0.25,-3305,-5707,8677,5,-70,-0.46,5,-50,-0.33,5,-310,-2.05
20251205,15730,15730,14880,15130,225228,3418,-3.32,-520,5,032500,619273,15.21,49.90,5.39,0.55,-63323,5631,58429,2,80,0.51,2,80,0.51,5,-770,-4.92
20251204,15930,16110,15480,15650,195495,3082,-0.06,10,5,032500,640165,22.54,96.98,5.39,0.48,-59652,51161,8052,2,270,1.72,2,450,2.87,5,-180,-1.15
20251203,15150,15740,15060,15660,159537,2479,3.71,560,2,032500,640574,15.13,118.88,5.56,0.39,18475,6909,-25293,2,50,0.33,2,640,4.24,5,-40,-0.26
20251202,15040,15170,14600,15100,138572,2065,1.21,180,2,032500,617667,-20.60,63.53,5.51,0.34,15046,24561,-39457,2,120,0.80,2,250,1.68,5,-320,-2.14
20251201,15280,15490,14890,14920,174534,2656,-1.26,190,5,032500,610304,-1.87,72.44,5.48,0.43,-28694,39692,-11264,2,170,1.13,2,380,2.51,5,-220,-1.46
20251128,14990,15180,14770,15110,177851,2663,1.27,190,2,032500,618076,9.68,82.49,5.50,0.43,28296,-34279,5414,2,70,0.47,2,260,1.74,5,-150,-1.01
20251127,15010,15250,14740,14920,162158,2430,0.81,120,2,032500,610304,37.69,109.85,5.43,0.40,-5345,-4852,14454,2,210,1.42,2,450,3.04,5,-60,-0.41
20251126,14580,14940,14370,14800,117773,1735,2.28,330,2,032500,605396,-37.69,155.97,5.45,0.29,13116,7590,-18014,2,110,0.76,2,470,3.25,5,-100,-0.69
20251125,14510,14560,14000,14470,188997,2684,2.48,350,2,032500,591897,15.15,109.45,5.39,0.46,32195,-43458,17940,2,390,2.76,2,440,3.12,5,-120,-0.85
20251124,14640,14700,13930,14120,164126,2322,-2.22,320,5,032500,577580,1.03,47.00,5.32,0.40,-34948,-177,24694,2,200,1.39,2,260,1.80,5,-510,-3.53
20251121,14750,14870,14360,14440,162451,2366,-4.62,700,5,032500,590670,-17.34,104.25,5.41,0.40,-12073,-32469,44633,5,-390,-2.58,5,-270,-1.78,5,-780,-5.15
20251120,14730,15270,14730,15140,196538,2966,3.20,470,2,032500,619303,-24.27,199.01,5.44,0.48,58372,-11149,-43054,2,60,0.41,2,600,4.09,2,60,0.41
20251119,15000,15000,14110,14670,259535,3785,-0.54,80,5,032500,600078,-73.08,142.08,5.27,0.63,-34790,-2728,36351,2,250,1.69,2,250,1.69,5,-640,-4.34
20251118,17280,17280,14490,14750,964135,14872,-0.94,140,5,032500,603350,567.34,40.10,5.34,2.36,-525223,-33792,546603,2,2390,16.05,2,2390,16.05,5,-400,-2.69
20251117,15140,15140,14570,14890,144474,2145,-0.73,110,5,032500,609077,-11.31,83.26,6.70,0.35,13041,-7597,1290,2,140,0.93,2,140,0.93,5,-430,-2.87
20251114,15500,15500,14920,15000,162890,2462,-4.03,630,5,032500,613577,-34.56,75.73,6.63,0.40,-15342,-2121,15615,5,-130,-0.83,5,-130,-0.83,5,-710,-4.54
20251113,15900,16250,15450,15630,248925,3917,-2.62,420,5,032500,636837,16.42,78.89,6.64,0.61,-31559,-19721,49769,5,-150,-0.93,2,200,1.25,5,-600,-3.74
20251112,16840,16840,15810,16050,213811,3444,-2.61,430,5,032500,653950,7.37,58.98,6.75,0.52,-92137,6951,86817,2,360,2.18,2,360,2.18,5,-670,-4.07
20251111,16750,17300,16160,16480,199133,3346,1.92,310,2,032500,671470,61.60,84.10,7.00,0.49,-23474,11408,16356,2,580,3.59,2,1130,6.99,5,-10,-0.06
20251110,16080,16400,15800,16170,123229,1986,1.32,210,2,032500,658839,-64.16,64.34,6.16,0.30,-45414,18783,26713,2,120,0.75,2,440,2.76,5,-160,-1.00
20251107,16100,16860,15770,15960,343789,5558,-5.67,960,5,032500,650283,18.88,92.06,6.33,0.84,100955,-104770,6945,5,-820,-4.85,5,-60,-0.35,5,-1150,-6.80
20251106,17830,18060,16700,16920,289181,4967,-4.19,740,5,032500,689397,-24.41,70.83,6.39,0.71,-9063,-21114,29525,2,170,0.96,2,400,2.27,5,-960,-5.44
20251105,17450,17940,16630,17660,382562,6584,-1.89,340,5,032500,719548,-13.13,137.67,6.09,0.94,79413,-28943,-49362,5,-550,-3.06,5,-60,-0.33,5,-1370,-7.61
20251104,18300,18850,17760,18000,440383,7990,0.06,10,2,032500,733402,-8.61,76.27,5.83,1.08,-76079,16419,57289,2,310,1.72,2,860,4.78,5,-230,-1.28
20251103,17510,18120,17070,17990,481849,8479,5.76,980,2,032500,732994,-47.17,90.60,6.05,1.18,-47353,37894,9961,2,500,2.94,2,1110,6.53,2,60,0.35
20251031,18000,18000,16690,17010,912149,15698,-9.04,1690,5,032500,693065,-47.01,56.16,6.17,2.24,-221026,60348,158530,5,-700,-3.74,5,-700,-3.74,5,-2010,-10.75
20251030,17590,18860,17190,18700,1721212,31294,8.66,1490,2,032500,761923,-33.78,140.17,6.67,4.22,293623,-17802,-254572,2,380,2.21,2,1650,9.59,5,-20,-0.12
20251029,17600,18430,16500,17210,2599085,45313,17.39,2550,2,032500,701213,325.15,86.61,6.66,6.38,-133608,285136,-160366,2,2940,20.05,2,3770,25.72,2,1840,12.55
20251028,13400,14690,13170,14660,611330,8769,9.00,1210,2,032500,597315,330.61,167.18,7.11,1.50,142878,52132,-193258,5,-50,-0.37,2,1240,9.22,5,-280,-2.08
20251027,13220,13540,13090,13450,141967,1893,1.82,240,2,032500,548014,91.18,73.46,6.71,0.35,-17258,48335,-30090,2,10,0.08,2,330,2.50,5,-120,-0.91
