date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,26850,26850,26150,26225,1789986,47467,-3.05,-825,5,010140,23078000,-78.42,47.50,30.73,0.20,0,0,0,5,-200,-0.74,5,-200,-0.74,5,-900,-3.33
20251209,25800,27350,25750,27050,8294235,223202,4.44,1150,2,010140,23804000,127.05,175.11,30.73,0.94,-685614,1546932,-844778,5,-100,-0.39,2,1450,5.60,5,-150,-0.58
20251208,26150,26150,25300,25900,3653054,93928,1.77,450,2,010140,22792000,0.83,85.03,30.79,0.42,-1029031,318246,699681,2,700,2.75,2,700,2.75,5,-150,-0.59
20251205,24700,25450,24500,25450,3622933,90628,3.25,800,2,010140,22396000,73.59,109.82,30.86,0.41,408573,259855,-687215,2,50,0.20,2,800,3.25,5,-150,-0.61
20251204,24750,24950,24450,24650,2073570,51024,-0.20,50,5,010140,21692000,0.02,71.58,30.86,0.24,-114511,-234880,354761,2,50,0.20,2,250,1.01,5,-250,-1.01
20251203,24800,24900,24375,24700,2073087,51109,0.82,200,2,010140,21736000,-18.25,80.07,30.89,0.24,-304360,128789,150171,2,300,1.22,2,400,1.63,5,-125,-0.51
20251202,24350,24900,24200,24500,2536028,62137,1.24,300,2,010140,21560000,-13.32,90.60,30.94,0.29,79135,-74935,3580,2,150,0.62,2,700,2.89,3,0,0.00
20251201,24750,25000,24100,24200,2925839,71089,-1.63,400,5,010140,21296000,-5.27,69.08,30.92,0.33,223230,-195010,-20404,2,150,0.61,2,400,1.63,5,-500,-2.03
20251128,25250,25350,24450,24600,3088484,76245,-2.77,700,5,010140,21648000,40.41,52.78,30.89,0.35,-383190,-360250,738567,5,-50,-0.20,2,50,0.20,5,-850,-3.36
20251127,25400,25700,25050,25300,2199577,55620,-0.20,50,5,010140,22264000,-13.59,90.82,30.93,0.25,-195565,-188521,49560,2,50,0.20,2,350,1.38,5,-300,-1.18
20251126,25000,25350,24600,25350,2545479,63979,2.22,550,2,010140,22308000,-8.80,121.30,30.96,0.29,192208,270485,-481326,2,200,0.81,2,550,2.22,5,-200,-0.81
20251125,25500,25800,24650,24800,2791063,69798,-1.00,250,5,010140,21824000,-36.91,90.15,30.94,0.32,434185,-485762,74428,2,450,1.80,2,750,2.99,5,-400,-1.60
20251124,25600,25650,24400,25050,4424074,110607,-1.18,300,5,010140,22044000,60.39,89.73,30.87,0.50,171769,-53045,-91535,2,250,0.99,2,300,1.18,5,-950,-3.75
20251121,25850,26000,25250,25350,2758376,70300,-4.16,1100,5,010140,22308000,-30.33,75.41,30.83,0.31,-717062,-161735,851281,5,-600,-2.27,5,-450,-1.70,5,-1200,-4.54
20251120,25800,26650,25600,26450,3959325,104051,4.34,1100,2,010140,23276000,-17.02,129.87,30.92,0.45,143057,369848,-544049,2,450,1.78,2,1300,5.13,2,250,0.99
20251119,25400,25600,24250,25350,4771489,119931,0.20,50,2,010140,22308000,38.13,109.52,30.90,0.54,411437,-36999,-405033,2,100,0.40,2,300,1.19,5,-1050,-4.15
20251118,25800,26350,25200,25300,3454430,88719,-3.44,900,5,010140,22264000,20.86,78.48,30.85,0.39,273947,-166647,-52858,5,-400,-1.53,2,150,0.57,5,-1000,-3.82
20251117,26600,26600,25800,26200,2858273,74708,-0.38,100,5,010140,23056000,-60.04,78.19,30.81,0.32,-329916,-287691,617899,2,300,1.14,2,300,1.14,5,-500,-1.90
20251114,25850,26850,25750,26300,7153065,188678,-0.75,200,5,010140,23144000,60.89,137.16,30.86,0.81,-2072465,1835272,198089,5,-650,-2.45,2,350,1.32,5,-750,-2.83
20251113,26200,26750,25800,26500,4446064,117436,0.95,250,2,010140,23320000,15.83,117.00,31.13,0.51,-128222,140001,-11257,5,-50,-0.19,2,500,1.90,5,-450,-1.71
20251112,26700,27000,26100,26250,3838511,101278,-0.57,150,5,010140,23100000,-11.81,62.34,31.14,0.44,-585274,-349369,889648,2,300,1.14,2,600,2.27,5,-300,-1.14
20251111,27350,27700,26200,26400,4352613,116501,-2.40,650,5,010140,23232000,6.01,64.76,31.22,0.49,-826312,-227104,1027030,2,300,1.11,2,650,2.40,5,-850,-3.14
20251110,27050,27300,26550,27050,4105719,110678,2.85,750,2,010140,23804000,-44.46,76.48,31.34,0.47,-1068080,226300,812708,2,750,2.85,2,1000,3.80,2,250,0.95
20251107,25500,26800,25450,26300,7392826,193165,0.57,150,2,010140,23144000,-7.29,110.44,31.50,0.84,-1117746,-245941,1316080,5,-650,-2.49,2,650,2.49,5,-700,-2.68
20251106,28000,28100,26050,26150,7973720,212725,-4.74,1300,5,010140,23012000,2.65,61.30,31.67,0.91,-1726945,-189439,1966893,2,550,2.00,2,650,2.37,5,-1400,-5.10
20251105,28100,28200,26500,27450,7768023,211898,-4.36,1250,5,010140,24156000,19.58,76.36,31.84,0.88,45293,-167219,160415,5,-600,-2.09,5,-500,-1.74,5,-2200,-7.67
20251104,28750,29000,28300,28700,6496008,185474,-0.86,250,5,010140,25256000,-15.02,82.09,31.85,0.74,1239608,-200066,-1016939,5,-200,-0.69,2,50,0.17,5,-650,-2.25
20251103,29900,30200,28850,28950,7643998,225171,-2.03,600,5,010140,25476000,26.09,56.07,31.71,0.87,-506503,-421840,987995,2,350,1.18,2,650,2.20,5,-700,-2.37
20251031,29150,30050,29150,29550,6062391,179402,-2.48,750,5,010140,26004000,-52.98,79.10,31.81,0.69,-65088,107220,-95866,5,-1150,-3.80,5,-250,-0.83,5,-1150,-3.80
20251030,32300,32500,29750,30300,12892031,398256,1.00,300,2,010140,26664000,6.47,72.15,31.82,1.47,-1896474,-748746,2590590,2,2300,7.67,2,2500,8.33,5,-250,-0.83
20251029,30200,30550,29250,30000,12108562,362191,0.17,50,2,010140,26400000,-37.63,82.93,32.16,1.38,-1019450,-236657,1318966,2,250,0.83,2,600,2.00,5,-700,-2.34
20251028,30850,30900,29000,29950,19412962,578509,2.92,850,2,010140,26356000,-25.98,80.41,32.32,2.21,-3742585,-615192,4352305,2,1750,6.01,2,1800,6.19,5,-100,-0.34
20251027,25900,29450,25750,29100,26228067,744793,17.34,4300,2,010140,25608000,106.46,112.76,32.79,2.98,4025522,-1454283,-2546185,2,1100,4.44,2,4650,18.75,2,950,3.83
