date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,18750,18750,18520,18600,30700,571,0.05,10,2,300720,1367941,-64.62,97.46,4.81,0.04,0,0,0,2,160,0.86,2,160,0.86,5,-70,-0.38
20251209,18310,18800,18240,18590,86783,1607,1.53,280,2,300720,1367205,15.45,124.82,4.81,0.12,-3941,19759,-9294,3,0,0.00,2,490,2.68,5,-70,-0.38
20251208,18580,18580,18110,18310,75172,1373,-0.38,70,5,300720,1346613,-46.51,78.42,4.81,0.10,-15400,4886,9706,2,200,1.09,2,200,1.09,5,-270,-1.47
20251205,17900,18400,17900,18380,140538,2564,2.68,480,2,300720,1351761,156.11,187.36,4.79,0.19,29252,-14778,-17787,3,0,0.00,2,500,2.79,3,0,0.00
20251204,17850,18050,17700,17900,54875,977,-0.50,90,5,300720,1316459,-25.15,80.08,4.79,0.07,-5952,-11588,17367,5,-140,-0.78,2,60,0.33,5,-290,-1.61
20251203,17550,18010,17550,17990,73313,1310,1.93,340,2,300720,1323078,18.20,135.79,4.81,0.10,16717,4385,-21031,5,-100,-0.57,2,360,2.04,5,-100,-0.57
20251202,17410,17740,17350,17650,62024,1090,1.61,280,2,300720,1298073,-5.93,155.82,4.78,0.08,17453,-1236,-16213,2,40,0.23,2,370,2.13,5,-20,-0.12
20251201,17590,17640,17330,17370,65936,1151,-1.03,180,5,300720,1277480,44.12,58.29,4.75,0.09,-6485,-10616,16821,2,40,0.23,2,90,0.51,5,-220,-1.25
20251128,17590,17710,17410,17550,45752,800,0.23,40,2,300720,1290718,-37.72,72.53,4.76,0.06,-13474,-4927,18060,2,80,0.46,2,200,1.14,5,-100,-0.57
20251127,17610,17830,17490,17510,73464,1290,-2.72,490,5,300720,1287777,-25.26,53.39,4.78,0.10,-29738,-14397,45793,5,-390,-2.17,5,-170,-0.94,5,-510,-2.83
20251126,17380,18000,17380,18000,98287,1739,3.69,640,2,300720,1323814,29.15,87.86,4.83,0.13,36012,-15187,-20777,2,20,0.12,2,640,3.69,2,20,0.12
20251125,17960,17960,17320,17360,76102,1332,-2.64,470,5,300720,1276745,4.97,59.76,4.78,0.10,-9262,-24086,33476,2,130,0.73,2,130,0.73,5,-510,-2.86
