date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,427000,440000,424500,439000,43366,18827,2.57,11000,2,128940,5624025,-38.27,160.34,11.60,0.34,0,0,0,5,-1000,-0.23,2,12000,2.80,5,-3500,-0.82
20251209,427500,430000,422500,428000,70253,29958,1.54,6500,2,128940,5483104,6.10,105.35,11.60,0.55,-1612,-11386,12746,2,6000,1.42,2,8500,2.02,2,1000,0.24
20251208,426000,426500,417500,421500,66211,27846,-1.06,4500,5,128940,5399833,-24.67,62.47,11.64,0.52,11626,-9225,-2251,3,0,0.00,2,500,0.12,5,-8500,-2.00
20251205,427500,429000,415000,426000,87890,37042,-0.93,-4000,5,128940,5457482,-1.98,72.24,11.60,0.69,9759,-10550,942,5,-2500,-0.58,5,-1000,-0.23,5,-15000,-3.49
20251204,430000,430500,423000,430000,89667,38217,-0.92,4000,5,128940,5508726,23.54,78.15,11.60,0.70,27708,-18143,-9894,5,-4000,-0.92,5,-3500,-0.81,5,-11000,-2.53
20251203,430000,434000,425000,434000,72583,31237,0.93,4000,2,128940,5559970,-51.54,122.15,11.31,0.57,19321,-1822,-17404,3,0,0.00,2,4000,0.93,5,-5000,-1.16
20251202,449500,449500,420000,430000,149764,64196,-4.66,21000,5,128940,5508726,46.97,72.96,11.18,1.17,15501,-39667,21863,5,-1500,-0.33,5,-1500,-0.33,5,-31000,-6.87
20251201,456500,459000,446000,451000,101900,46051,-1.20,5500,5,128940,5777757,24.02,114.40,11.05,0.80,11292,-10316,510,3,0,0.00,2,2500,0.55,5,-10500,-2.30
20251128,454000,461000,450000,456500,82164,37370,1.56,7000,2,128940,5848217,25.76,106.06,10.94,0.64,6484,9181,-14932,2,4500,1.00,2,11500,2.56,2,500,0.11
20251127,461500,468000,447500,449500,65334,29647,-1.32,6000,5,128940,5758540,-27.15,63.68,10.89,0.51,-5150,-6085,11446,2,6000,1.32,2,12500,2.74,5,-8000,-1.76
20251126,449500,464500,442000,455500,89682,40905,2.47,11000,2,128940,5835406,24.22,154.55,10.96,0.70,9551,9661,-19906,2,5000,1.12,2,20000,4.50,5,-2500,-0.56
20251125,450000,460500,441500,444500,72199,32447,-0.34,1500,5,128940,5694485,-31.56,114.71,10.85,0.56,4734,1831,-6581,2,4000,0.90,2,14500,3.25,5,-4500,-1.01
