date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,14230,14400,14100,14130,47290,672,-1.60,-230,5,079370,438270,-71.15,64.92,6.17,0.15,0,0,0,5,-130,-0.91,2,40,0.28,5,-260,-1.81
20251209,14620,14620,14220,14360,163906,2353,-2.31,340,5,079370,445404,32.62,95.04,6.17,0.53,23691,-33228,17150,5,-80,-0.54,5,-80,-0.54,5,-480,-3.27
20251208,14870,14990,14580,14700,123590,1820,-0.20,30,5,079370,455950,-44.66,73.77,6.01,0.40,-24437,355,24049,2,140,0.95,2,260,1.77,5,-150,-1.02
20251205,15380,15380,14500,14730,223311,3293,-2.13,-320,5,079370,456880,-28.84,59.05,6.47,0.72,-100053,27157,73416,2,330,2.19,2,330,2.19,5,-550,-3.65
20251204,14980,15260,14780,15050,313836,4709,2.59,380,2,079370,466806,142.35,147.38,6.47,1.01,9655,23831,-33630,2,310,2.11,2,590,4.02,2,110,0.75
20251203,14500,14680,14420,14670,129496,1889,1.73,250,2,079370,455019,-22.70,132.35,6.41,0.42,-36625,26582,10029,2,80,0.55,2,260,1.80,3,0,0.00
20251202,14810,14830,14170,14420,167528,2419,0.00,0,3,079370,447265,-44.69,59.88,6.37,0.54,-90848,34268,56718,2,390,2.70,2,410,2.84,5,-250,-1.73
20251201,15180,15190,14160,14420,302910,4446,1.62,230,2,079370,447265,-30.95,80.17,6.71,0.98,-104715,21126,83743,2,990,6.98,2,1000,7.05,5,-30,-0.21
20251128,13890,14490,13600,14190,438668,6166,8.40,1100,2,079370,440131,713.21,154.61,7.39,1.41,23895,24978,-45981,2,800,6.11,2,1400,10.70,2,510,3.90
20251127,13260,13350,13020,13090,53943,709,-0.46,60,5,079370,406012,-57.56,90.56,7.23,0.17,-5578,-3647,9188,2,110,0.84,2,200,1.52,5,-130,-0.99
