date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,111000,111000,109700,109800,4062,448,-0.99,-1100,5,282330,1897773,-83.92,78.29,30.05,0.02,0,0,0,2,100,0.09,2,100,0.09,5,-1200,-1.08
20251209,110100,111000,108800,110900,25254,2776,0.09,100,2,282330,1916785,-1.52,99.11,30.05,0.15,-716,8,678,5,-700,-0.63,2,200,0.18,5,-2000,-1.81
20251208,111000,111400,109900,110800,25643,2842,-0.09,100,5,282330,1915057,54.47,58.41,30.07,0.15,-1176,-2059,2988,2,100,0.09,2,500,0.45,5,-1000,-0.90
20251205,110300,111000,109600,110900,16601,1834,0.09,100,2,282330,1916785,6.37,95.32,30.09,0.10,-2531,1063,1292,5,-500,-0.45,2,200,0.18,5,-1200,-1.08
20251204,110900,112300,110100,110800,15607,1726,-1.07,1200,5,282330,1915057,-43.86,114.62,30.09,0.09,-2087,207,1822,5,-1100,-0.98,2,300,0.27,5,-1900,-1.70
20251203,110700,112600,110700,112000,27802,3115,0.72,800,2,282330,1935797,11.66,120.09,30.10,0.16,4458,6215,-10682,5,-500,-0.45,2,1400,1.26,5,-500,-0.45
20251202,110400,111400,108500,111200,24899,2742,1.37,1500,2,282330,1921970,-26.39,143.56,30.07,0.14,438,3085,-3722,2,700,0.64,2,1700,1.55,5,-1200,-1.09
20251201,108800,111000,108500,109700,33825,3719,1.29,1400,2,282330,1896044,0.46,107.40,30.08,0.20,5458,1375,-6831,2,500,0.46,2,2700,2.49,2,200,0.18
20251128,107900,108900,107400,108300,33670,3640,0.46,500,2,282330,1871847,-1.08,61.80,30.04,0.19,9726,-8774,-900,2,100,0.09,2,1100,1.02,5,-400,-0.37
20251127,108600,109400,107000,107800,34037,3667,-1.37,1500,5,282330,1863205,-1.14,73.03,29.98,0.20,-4703,-2098,6713,5,-700,-0.64,2,100,0.09,5,-2300,-2.10
20251126,111500,111500,108800,109300,34431,3768,-1.00,1100,5,282330,1889131,-20.18,81.76,30.01,0.20,-2126,-4212,6402,2,1100,1.00,2,1100,1.00,5,-1600,-1.45
20251125,109800,110900,108600,110400,43136,4751,0.18,200,2,282330,1908143,41.41,141.44,30.03,0.25,5035,-579,-4470,5,-400,-0.36,2,700,0.64,5,-1600,-1.45
20251124,112300,112800,110200,110200,30505,3389,-2.04,2300,5,282330,1904686,-40.79,69.96,30.00,0.18,-4977,3122,1838,5,-200,-0.18,2,300,0.27,5,-2300,-2.04
20251121,112000,112800,110300,112500,51517,5772,1.08,1200,2,282330,1944439,54.48,113.72,30.03,0.30,-766,14973,-14296,2,700,0.63,2,1500,1.35,5,-1000,-0.90
20251120,110500,112300,110200,111300,33349,3727,0.00,0,3,282330,1923699,-31.29,60.51,30.03,0.19,4883,145,-4630,5,-800,-0.72,2,1000,0.90,5,-1100,-0.99
20251119,110200,112300,109300,111300,48538,5400,1.92,2100,2,282330,1923699,37.73,94.84,30.00,0.28,8721,4908,-13857,2,1000,0.92,2,3100,2.84,2,100,0.09
20251118,109600,112300,109000,109200,35241,3882,-1.71,1900,5,282330,1887403,-33.03,48.96,29.94,0.20,12476,-7117,-5027,5,-1500,-1.35,2,1200,1.08,5,-2100,-1.89
20251117,110000,112400,109200,111100,52625,5857,1.00,1100,2,282330,1920242,-7.48,94.96,29.87,0.30,14166,-2851,-10938,3,0,0.00,2,2400,2.18,5,-800,-0.73
20251114,108900,111500,108300,110000,56881,6286,0.73,800,2,282330,1901230,3.76,140.92,29.79,0.33,2554,7102,-9524,5,-300,-0.27,2,2300,2.11,5,-900,-0.82
20251113,109900,111100,106900,109200,54821,6017,-1.62,1800,5,282330,1887403,9.88,106.99,29.77,0.32,11009,-18193,7340,5,-1100,-0.99,2,100,0.09,5,-4100,-3.69
20251112,109100,111800,108100,111000,49892,5518,1.65,1800,2,282330,1918514,30.61,157.11,29.63,0.29,20429,2077,-22470,5,-100,-0.09,2,2600,2.38,5,-1100,-1.01
20251111,107800,110000,107800,109200,38200,4176,0.09,100,2,282330,1887403,-38.54,104.68,29.51,0.22,7822,3522,-11208,5,-1300,-1.19,2,900,0.82,5,-1300,-1.19
20251110,107300,109700,106900,109100,62157,6756,2.06,2200,2,282330,1885674,-31.30,126.65,29.46,0.36,2968,18653,-21677,2,400,0.37,2,2800,2.62,3,0,0.00
