date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,437000,437500,432000,432000,5504,2387,-0.80,-3500,5,004370,2627701,-70.15,45.95,19.02,0.09,0,0,0,2,1500,0.34,2,2000,0.46,5,-3500,-0.80
20251209,433000,437000,431000,435500,18439,8019,1.04,4500,2,004370,2648991,-38.11,130.10,19.02,0.30,4737,169,-4917,2,2000,0.46,2,6000,1.39,3,0,0.00
20251208,431500,437000,428500,431000,29794,12918,-0.12,500,5,004370,2621619,66.29,97.87,18.91,0.49,7327,-4591,-2887,3,0,0.00,2,5500,1.27,5,-3000,-0.70
20251205,432000,434000,428500,431500,17917,7715,0.12,500,2,004370,2624660,-52.33,90.76,18.81,0.29,1335,724,-1057,2,1000,0.23,2,3000,0.70,5,-2500,-0.58
20251204,433500,433500,426500,431000,37585,16121,-0.81,3500,5,004370,2621619,100.12,92.11,18.81,0.62,-12163,1186,10343,5,-1000,-0.23,5,-1000,-0.23,5,-8000,-1.84
20251203,435000,436000,430500,434500,18781,8131,-0.11,500,5,004370,2642908,-25.60,49.60,19.03,0.31,-1892,-4618,5414,3,0,0.00,2,1000,0.23,5,-4500,-1.03
20251202,433000,435500,428500,435000,25242,10911,-0.23,1000,5,004370,2645949,-30.48,103.50,19.08,0.41,2617,-5804,2393,5,-3000,-0.69,5,-500,-0.11,5,-7500,-1.72
20251201,450000,450000,429500,436000,36309,15811,-2.46,11000,5,004370,2652032,137.16,42.82,19.06,0.60,-4608,-5234,6581,2,3000,0.67,2,3000,0.67,5,-17500,-3.91
20251128,448000,452000,445000,447000,15310,6858,0.00,0,3,004370,2718941,-17.63,87.90,19.21,0.25,282,470,-620,2,1000,0.22,2,5000,1.12,5,-2000,-0.45
20251127,449000,452500,444000,447000,18587,8309,-0.11,500,5,004370,2718941,-32.43,74.01,19.21,0.31,71,67,-602,2,1500,0.34,2,5000,1.12,5,-3500,-0.78
20251126,445500,448500,440000,447500,27507,12257,1.36,6000,2,004370,2721982,-15.39,97.96,19.23,0.45,8371,1146,-9452,2,4000,0.91,2,7000,1.59,5,-1500,-0.34
20251125,456500,456500,439000,441500,32510,14478,-2.75,12500,5,004370,2685486,-3.92,49.75,19.03,0.53,774,-1187,-231,2,2500,0.55,2,2500,0.55,5,-15000,-3.30
20251124,469000,469500,453000,454000,33838,15490,-2.26,10500,5,004370,2761519,2.05,53.76,19.47,0.56,6781,-3229,-2627,2,4500,0.97,2,5000,1.08,5,-11500,-2.48
20251121,465500,470500,461000,464500,33157,15402,-1.59,7500,5,004370,2825387,-42.88,88.64,19.57,0.55,6702,549,-6646,5,-6500,-1.38,5,-1500,-0.32,5,-11000,-2.33
20251120,463000,478500,459000,472000,58049,27375,0.64,3000,2,004370,2871007,-50.54,100.01,19.32,0.95,14321,4481,-18075,5,-6000,-1.28,2,9500,2.03,5,-10000,-2.13
20251119,463000,480500,457000,469000,117361,55350,1.74,8000,2,004370,2852759,70.10,115.85,19.03,1.93,28045,10304,-36108,2,2000,0.43,2,19500,4.23,5,-4000,-0.87
20251118,458500,470500,457000,461000,68994,31916,-0.22,1000,5,004370,2804098,-66.28,113.66,18.54,1.13,16431,4260,-20946,5,-3500,-0.76,2,8500,1.84,5,-5000,-1.08
20251117,440500,474000,439500,462000,204581,94681,9.35,39500,2,004370,2810181,777.54,133.99,18.29,3.36,61550,29179,-85726,2,18000,4.26,2,51500,12.19,2,17000,4.02
20251114,429500,431500,422000,422500,23313,9923,-2.65,11500,5,004370,2569916,-20.96,44.01,16.97,0.38,-4787,-4536,8744,5,-4500,-1.04,5,-2500,-0.58,5,-12000,-2.76
20251113,429500,434000,425500,434000,29495,12687,0.58,2500,2,004370,2639867,85.77,72.22,17.10,0.48,-8964,5076,4885,5,-2000,-0.46,2,2500,0.58,5,-6000,-1.39
