date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,219500,223000,216000,216500,14927,3250,-2.04,-4500,5,140860,1514737,-63.09,90.28,28.61,0.21,0,0,0,5,-1500,-0.68,2,2000,0.90,5,-5000,-2.26
20251209,222500,225000,219500,221000,28639,6337,-2.00,4500,5,140860,1546221,-22.01,75.21,28.61,0.41,3129,-8052,5439,5,-3000,-1.33,5,-500,-0.22,5,-6000,-2.66
20251208,223000,227000,219500,225500,36720,8199,0.22,500,2,140860,1577706,25.20,87.64,28.58,0.52,-43,-4300,3997,5,-2000,-0.89,2,2000,0.89,5,-5500,-2.44
20251205,223500,225000,217500,225000,29328,6509,0.67,1500,2,140860,1574207,-24.27,79.57,28.76,0.42,-4824,5532,-543,3,0,0.00,2,1500,0.67,5,-6000,-2.68
20251204,225000,226500,216500,223500,38725,8639,-0.89,2000,5,140860,1563467,-20.17,93.99,28.76,0.55,-6878,5217,1455,5,-500,-0.22,2,1000,0.44,5,-9000,-3.99
20251203,230500,231500,223500,225500,48512,11020,-1.53,3500,5,140860,1577458,39.86,89.37,28.84,0.69,10811,-14901,3778,2,1500,0.66,2,2500,1.09,5,-5500,-2.40
20251202,240000,240000,226500,229000,34685,7952,-2.97,7000,5,140860,1601941,-61.46,81.03,28.73,0.50,-13373,3398,9848,2,4000,1.69,2,4000,1.69,5,-9500,-4.03
20251201,237000,242500,232000,236000,89999,21338,-0.42,1000,5,140860,1650909,100.82,76.83,28.89,1.29,15224,-16308,1088,3,0,0.00,2,5500,2.32,5,-5000,-2.11
20251128,225500,237000,224000,237000,44815,10405,5.33,12000,2,140860,1657904,8.65,138.41,28.53,0.64,-6815,13193,-6683,2,500,0.22,2,12000,5.33,5,-1000,-0.44
20251127,228500,230500,222500,225000,41246,9287,-2.17,5000,5,140860,1573960,120.46,66.73,28.62,0.59,3373,-14210,10499,5,-1500,-0.65,2,500,0.22,5,-7500,-3.26
20251126,230500,232000,227000,230000,18709,4292,0.88,2000,2,140860,1608937,-14.96,71.07,28.57,0.27,-173,1529,-1195,2,2500,1.10,2,4000,1.75,5,-1000,-0.44
20251125,236000,238500,228000,228000,22000,5081,-3.18,7500,5,140860,1594946,-36.10,95.11,28.63,0.31,-1630,-4614,6165,2,500,0.21,2,3000,1.27,5,-7500,-3.18
20251124,244500,248000,233500,235500,34430,8139,-4.46,11000,5,140860,1647411,-33.89,114.50,28.63,0.49,-9866,1283,8398,5,-2000,-0.81,2,1500,0.61,5,-13000,-5.27
20251121,233000,250000,232500,246500,52083,12408,-0.60,1500,5,140860,1724360,43.12,144.64,28.89,0.74,6078,6292,-12380,5,-15000,-6.05,2,2000,0.81,5,-15500,-6.25
20251120,251000,253500,245500,248000,36390,9047,2.27,5500,2,140860,1734853,-21.26,175.76,28.86,0.52,-15819,20459,-4717,2,8500,3.51,2,11000,4.54,2,3000,1.24
