date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,503000,504000,490000,492500,26081,12857,-1.50,-7500,5,000810,22660494,-63.61,144.21,56.34,0.06,0,0,0,2,3000,0.60,2,4000,0.80,5,-10000,-2.00
20251209,500000,500000,490500,500000,71663,35642,0.40,2000,2,000810,23005578,3.83,95.90,56.34,0.16,3195,-5377,2154,2,2000,0.40,2,2000,0.40,5,-7500,-1.51
20251208,522000,522000,495000,498000,69020,34431,-4.60,24000,5,000810,22913555,-37.25,98.24,56.31,0.15,-8955,-11831,20744,3,0,0.00,3,0,0.00,5,-27000,-5.17
20251205,497500,522000,494000,522000,109987,56184,5.03,25000,2,000810,24017823,80.27,135.30,56.32,0.24,12233,3831,-15984,2,500,0.10,2,25000,5.03,5,-3000,-0.60
20251204,490000,499000,489500,497000,53922,26717,0.71,3500,2,000810,22867544,-23.83,153.05,56.32,0.12,-1916,4355,-2338,5,-3500,-0.71,2,5500,1.11,5,-4000,-0.81
20251203,495000,497500,485000,493500,70792,34879,-0.70,3500,5,000810,22706505,-29.44,119.67,56.34,0.15,-11049,2946,8093,5,-2000,-0.40,2,500,0.10,5,-12000,-2.41
20251202,517000,517000,491000,497000,100322,50115,-1.00,5000,5,000810,22867544,13.80,103.25,56.35,0.22,8285,-10493,2178,2,15000,2.99,2,15000,2.99,5,-11000,-2.19
20251201,486000,502000,482500,502000,88155,43370,4.26,20500,2,000810,23097600,76.17,115.86,56.33,0.19,8300,-1260,-7083,2,4500,0.93,2,20500,4.26,2,1000,0.21
20251128,489500,492500,481000,481500,50039,24245,-1.13,5500,5,000810,22154371,27.13,93.92,56.32,0.11,-12548,10744,1802,2,2500,0.51,2,5500,1.13,5,-6000,-1.23
20251127,484000,494000,484000,487000,39359,19239,0.21,1000,2,000810,22407432,-18.51,119.36,56.35,0.09,-161,3539,-3372,5,-2000,-0.41,2,8000,1.65,5,-2000,-0.41
20251126,485500,487500,472000,486000,48298,23336,2.75,13000,2,000810,22361421,-2.94,114.85,56.36,0.10,-6784,9175,-2391,2,12500,2.64,2,14500,3.07,5,-1000,-0.21
20251125,479000,489000,469500,473000,49760,23684,0.00,0,3,000810,21763276,-73.51,96.77,56.37,0.11,5816,-3740,-2050,2,6000,1.27,2,16000,3.38,5,-3500,-0.74
20251124,475000,481000,464000,473000,187839,88473,0.64,3000,2,000810,21763276,149.32,123.86,56.35,0.41,-10973,9897,1147,2,5000,1.06,2,11000,2.34,5,-6000,-1.28
20251121,476000,476500,463000,470000,75340,35270,0.64,3000,2,000810,21625243,60.17,109.87,56.38,0.16,-3748,3690,318,2,9000,1.93,2,9500,2.03,5,-4000,-0.86
20251120,478500,479000,467000,467000,47037,22242,-0.43,2000,5,000810,21487209,-23.50,88.41,56.40,0.10,-5210,5047,401,2,9500,2.03,2,10000,2.13,5,-2000,-0.43
20251119,473500,478000,468000,469000,61488,29004,1.08,5000,2,000810,21579232,6.46,98.10,56.42,0.13,-4744,7229,-2423,2,9500,2.05,2,14000,3.02,2,4000,0.86
20251118,476000,479500,464000,464000,57756,26989,-2.62,12500,5,000810,21349176,-34.15,94.83,56.42,0.13,1036,-4272,3250,5,-500,-0.10,2,3000,0.63,5,-12500,-2.62
20251117,490000,498500,474500,476500,87702,42343,-3.64,18000,5,000810,21924315,-9.34,91.01,56.42,0.19,-975,-16334,11931,5,-4500,-0.91,2,4000,0.81,5,-20000,-4.04
20251114,506000,525000,487500,494500,96733,48534,-1.10,5500,5,000810,22752516,-23.86,106.81,56.42,0.21,-3418,-3802,7465,2,6000,1.20,2,25000,5.00,5,-12500,-2.50
20251113,515000,515000,500000,500000,127043,64004,-4.21,22000,5,000810,23005578,26.49,87.08,56.42,0.28,-33965,19028,15082,5,-7000,-1.34,5,-7000,-1.34,5,-22000,-4.21
20251112,495500,528000,493500,522000,100438,51913,4.19,21000,2,000810,24017823,-24.19,147.01,56.48,0.22,1163,10646,-11779,5,-5500,-1.10,2,27000,5.39,5,-7500,-1.50
20251111,513000,528000,500000,501000,132482,67712,-1.96,10000,5,000810,23051589,28.79,113.94,56.46,0.29,932,2125,-1458,2,2000,0.39,2,17000,3.33,5,-11000,-2.15
