date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,120200,121600,115700,119000,3439202,407498,1.02,1200,2,086520,16157362,-54.96,82.51,22.09,2.53,0,0,0,2,2400,2.04,2,3800,3.23,5,-2100,-1.78
20251209,114600,119600,112900,117800,7636333,894927,0.26,300,2,086520,15994431,-61.06,86.06,22.09,5.62,-222879,13314,241852,5,-2900,-2.47,2,2100,1.79,5,-4600,-3.91
20251208,99700,119000,99000,117500,19608074,2195747,21.26,20600,2,086520,15953698,130.61,140.78,22.27,14.44,3025342,151717,-3176987,2,2800,2.89,2,22100,22.81,2,2100,2.17
20251205,90500,99000,90400,96900,8502761,819205,5.90,5400,2,086520,13156709,314.39,120.24,19.13,6.26,1213485,153072,-1363647,5,-1000,-1.09,2,7500,8.20,5,-1100,-1.20
20251204,93800,94700,91000,91500,2051894,189545,-2.03,1900,5,086520,12423518,-13.69,63.96,19.13,1.51,-204057,18672,192605,2,400,0.43,2,1300,1.39,5,-2400,-2.57
20251203,94400,96200,92600,93400,2377262,223726,-0.74,700,5,086520,12681493,-48.68,78.61,19.31,1.75,-193709,60444,137301,2,300,0.32,2,2100,2.23,5,-1500,-1.59
20251202,93000,95600,90000,94100,4631955,431028,1.18,1100,2,086520,12776536,-42.18,98.44,19.35,3.41,-173148,240063,-68138,3,0,0.00,2,2600,2.80,5,-3000,-3.23
20251201,86800,95000,86300,93000,8010476,734663,10.06,8500,2,086520,12627182,245.81,127.10,19.47,5.90,517710,218229,-757832,2,2300,2.72,2,10500,12.43,2,1800,2.13
20251128,84500,86000,82500,84500,2316467,194567,3.17,2600,2,086520,11473085,19.01,108.68,19.09,1.71,-63424,169344,-105328,2,2600,3.17,2,4100,5.01,2,600,0.73
20251127,83900,85100,81800,81900,1946496,161807,-1.92,1600,5,086520,11120067,-46.49,73.82,19.14,1.43,-125893,18842,106837,2,400,0.48,2,1600,1.92,5,-1700,-2.04
20251126,76600,84100,76000,83500,3637359,292195,11.04,8300,2,086520,11337309,115.52,130.24,19.36,2.68,-3858,-33399,37631,2,1400,1.86,2,8900,11.84,2,800,1.06
20251125,78000,78700,74700,75200,1687724,129104,-0.13,100,5,086520,10210367,-31.94,79.77,19.34,1.24,13520,-24543,10629,2,2700,3.59,2,3400,4.52,5,-600,-0.80
20251124,79700,80000,74100,75300,2479939,187721,-4.44,3500,5,086520,10223944,53.73,73.31,19.33,1.83,119926,34903,-116320,2,900,1.14,2,1200,1.52,5,-4700,-5.96
20251121,78500,81900,78500,78800,1613229,128583,-5.17,4300,5,086520,10699161,-41.31,73.01,19.28,1.19,-1997,-50781,52869,5,-4600,-5.54,5,-1200,-1.44,5,-4600,-5.54
20251120,81200,85600,80600,83100,2748517,228789,4.79,3800,2,086520,11282998,2.99,106.93,19.28,2.02,103753,-28772,-101764,2,1900,2.40,2,6300,7.94,2,1300,1.64
20251119,81700,83100,78700,79300,2668789,213682,-2.82,2300,5,086520,10767049,-23.55,82.67,19.14,1.97,9361,-12755,-3641,2,100,0.12,2,1500,1.84,5,-2900,-3.55
20251118,88800,90100,81600,81600,3490767,293671,-7.48,6600,5,086520,11079334,64.76,64.31,19.17,2.57,-144115,-94149,248280,2,600,0.68,2,1900,2.15,5,-6600,-7.48
20251117,91200,92000,87300,88200,2118696,188346,-1.89,1700,5,086520,11975457,-17.31,70.00,19.25,1.56,-182682,-32661,211636,2,1300,1.45,2,2100,2.34,5,-2600,-2.89
20251114,91300,93800,89700,89900,2562326,233959,-5.07,4800,5,086520,12206276,-23.02,52.43,19.38,1.89,-373827,-35547,423455,5,-3400,-3.59,5,-900,-0.95,5,-5000,-5.28
20251113,92400,95900,91700,94700,3328565,312147,1.18,1100,2,086520,12858002,13.44,100.29,19.61,2.45,16953,63798,-76126,5,-1200,-1.28,2,2300,2.46,5,-1900,-2.03
20251112,95500,95900,92400,93600,2934215,275797,-0.53,500,5,086520,12708648,-76.47,71.69,19.55,2.16,-222882,-31805,260607,2,1400,1.49,2,1800,1.91,5,-1700,-1.81
20251111,89300,99800,89100,94100,12469599,1196146,7.05,6200,2,086520,12776536,195.31,104.31,19.76,9.18,478842,56922,-561084,2,1400,1.59,2,11900,13.54,2,1200,1.37
20251110,88400,89800,82900,87900,4222485,363616,0.80,700,2,086520,11934724,12.65,105.49,19.35,3.11,-225683,102258,100358,2,1200,1.38,2,2600,2.98,5,-4300,-4.93
20251107,90400,94800,87100,87200,3748283,338066,-6.44,6000,5,086520,11839680,-33.80,65.97,19.42,2.76,-208125,-20268,208577,5,-2800,-3.00,2,1600,1.72,5,-6100,-6.55
20251106,97000,100900,93100,93200,5661883,543400,0.43,400,2,086520,12654337,-13.38,79.74,19.59,4.17,-217011,-152955,363181,2,4200,4.53,2,8100,8.73,2,300,0.32
20251105,92800,96300,87300,92800,6536141,601265,-3.03,2900,5,086520,12600027,124.97,89.26,19.78,4.81,-720941,-24842,723761,5,-2900,-3.03,2,600,0.63,5,-8400,-8.78
20251104,100000,102400,94300,95700,2905365,284744,0.95,900,2,086520,12993778,8.12,69.96,20.38,2.14,-308762,-14579,337273,2,5200,5.49,2,7600,8.02,5,-500,-0.53
20251103,91400,96000,88100,94800,2687046,249299,7.73,6800,2,086520,12871579,29.42,123.62,20.62,1.98,136270,3878,-164540,2,3400,3.86,2,8000,9.09,2,100,0.11
20251031,86800,92300,86500,88000,2076158,186338,-1.35,1200,5,086520,11948301,-26.64,99.23,20.51,1.53,163579,9914,-170998,5,-2400,-2.69,2,3100,3.48,5,-2700,-3.03
20251030,92700,98700,89000,89200,2829987,262881,-4.19,3900,5,086520,12111233,59.90,78.44,20.39,2.08,299591,-87686,-208905,5,-400,-0.43,2,5600,6.02,5,-4100,-4.40
20251029,95500,95800,91500,93100,1769813,165448,-4.22,4100,5,086520,12640760,-43.93,65.29,20.18,1.30,-98234,1264,128296,5,-1700,-1.75,5,-1400,-1.44,5,-5700,-5.86
20251028,96700,98400,90300,97200,3156699,299170,3.62,3400,2,086520,13197442,24.82,91.94,20.22,2.32,-395903,32130,365615,2,2900,3.09,2,4600,4.90,5,-3500,-3.73
20251027,91300,94100,89700,93800,2529060,232762,6.23,5500,2,086520,12735803,5.14,9209.76,20.68,1.86,44064,87198,-155266,2,3000,3.40,2,5800,6.57,2,1400,1.59
