date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,15160,15210,15110,15210,148236,2247,-0.07,-10,5,032640,6537689,-72.82,88.55,84.70,0.03,0,0,0,5,-60,-0.39,5,-10,-0.07,5,-110,-0.72
20251209,15210,15250,15090,15220,533740,8103,-0.46,70,5,032640,6541988,-39.92,131.01,84.70,0.12,-552,-1728,2202,5,-80,-0.52,5,-40,-0.26,5,-200,-1.31
20251208,15220,15300,14880,15290,888386,13456,-0.07,10,5,032640,6572076,53.15,90.65,84.70,0.21,28868,-49823,16690,5,-80,-0.52,3,0,0.00,5,-420,-2.75
20251205,15190,15390,15170,15300,580075,8863,0.33,50,2,032640,6576374,-24.06,93.94,84.72,0.13,-31209,116376,-56522,5,-60,-0.39,2,140,0.92,5,-80,-0.52
20251204,15190,15290,15140,15250,599362,9111,0.07,10,2,032640,6554882,-10.59,90.06,84.72,0.14,28483,-24092,12144,5,-50,-0.33,2,50,0.33,5,-100,-0.66
20251203,15160,15300,15140,15240,670334,10207,0.53,80,2,032640,6550584,-15.35,106.79,84.72,0.16,-32384,20606,10847,3,0,0.00,2,140,0.92,5,-20,-0.13
20251202,15170,15240,15060,15160,791859,12001,-0.52,80,5,032640,6516198,87.44,67.67,84.74,0.18,-137286,84458,53498,5,-70,-0.46,3,0,0.00,5,-180,-1.18
20251201,15060,15260,15040,15240,422455,6398,1.20,180,2,032640,6550584,-19.16,100.58,84.80,0.10,53335,37392,-90770,3,0,0.00,2,200,1.33,5,-20,-0.13
20251128,15310,15310,15000,15060,522554,7886,-1.12,170,5,032640,6473215,79.27,76.51,84.79,0.12,-96083,16145,79736,2,80,0.53,2,80,0.53,5,-230,-1.51
20251127,15220,15340,15190,15230,291494,4450,-0.39,60,5,032640,6546286,-61.48,85.58,84.84,0.07,-20635,40150,-12197,5,-70,-0.46,2,50,0.33,5,-100,-0.65
20251126,15000,15320,14990,15290,756764,11513,0.59,90,2,032640,6572076,-19.52,87.28,84.86,0.18,98614,-80390,3045,5,-200,-1.32,2,120,0.79,5,-210,-1.38
20251125,16000,16000,15110,15200,940266,14433,-4.58,730,5,032640,6533391,-37.00,56.03,84.82,0.22,-193021,-215113,404230,2,70,0.44,2,70,0.44,5,-820,-5.15
20251124,15640,15930,15470,15930,1492416,23549,2.12,330,2,032640,6847166,77.67,62.72,84.92,0.35,133877,46900,-131374,2,40,0.26,2,330,2.12,5,-130,-0.83
20251121,15850,15990,15450,15600,840011,13161,-1.14,180,5,032640,6705322,29.10,66.56,84.85,0.20,-85838,117739,-39754,2,70,0.44,2,210,1.33,5,-330,-2.09
20251120,15600,15790,15500,15780,650684,10221,0.90,140,2,032640,6782691,-39.16,92.05,84.89,0.15,15749,41554,-50628,5,-40,-0.26,2,150,0.96,5,-140,-0.90
20251119,15270,15660,15160,15640,1069515,16633,3.44,520,2,032640,6722515,15.63,103.12,84.89,0.25,124459,33369,-156384,2,150,0.99,2,540,3.57,2,40,0.26
20251118,15430,15600,14980,15120,924917,14097,-2.95,460,5,032640,6499005,-7.95,76.90,84.82,0.22,19771,-133196,111086,5,-150,-0.96,2,20,0.13,5,-600,-3.85
20251117,15480,15610,15330,15580,1004758,15583,0.13,20,2,032640,6696726,26.04,104.24,84.82,0.23,12119,478,-9623,5,-80,-0.51,2,50,0.32,5,-230,-1.48
20251114,15570,16050,15330,15560,797185,12358,1.17,180,2,032640,6688129,-22.55,93.48,84.81,0.19,-76358,132973,-67309,2,190,1.24,2,670,4.36,5,-50,-0.33
20251113,15410,15610,15240,15380,1029340,15882,-1.09,170,5,032640,6610760,71.89,66.74,84.85,0.24,-54597,51995,3191,5,-140,-0.90,2,60,0.39,5,-310,-1.99
20251112,15690,15800,15510,15550,598824,9341,-0.83,130,5,032640,6683831,-32.26,96.09,84.87,0.14,-53526,33372,23814,2,10,0.06,2,120,0.77,5,-170,-1.08
20251111,16030,16190,15610,15680,884009,13976,-3.27,530,5,032640,6739709,-45.98,93.84,84.91,0.21,-9134,36354,-15505,5,-180,-1.11,5,-20,-0.12,5,-600,-3.70
20251110,15980,16500,15880,16210,1636599,26683,3.18,500,2,032640,6967518,6.69,157.17,84.92,0.38,-140979,633054,-487315,2,270,1.72,2,790,5.03,2,170,1.08
20251107,15540,15950,15450,15710,1533908,24097,2.08,320,2,032640,6752603,2.89,152.13,84.95,0.36,278981,265650,-531997,2,150,0.97,2,560,3.64,2,60,0.39
20251106,15190,15400,14840,15390,1490781,22711,2.81,420,2,032640,6615058,-30.34,107.87,84.81,0.35,393435,-91487,-298545,2,220,1.47,2,430,2.87,5,-130,-0.87
20251105,14880,15590,14690,14970,2140175,32193,2.89,420,2,032640,6434530,133.87,93.90,84.62,0.50,507480,-27868,-466142,2,330,2.27,2,1040,7.15,2,140,0.96
