date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,16440,16580,16120,16170,189285,3079,-1.64,-270,5,009520,673363,-67.42,57.23,6.08,0.45,0,0,0,3,0,0.00,2,140,0.85,5,-320,-1.95
20251209,16350,16900,16180,16440,581038,9603,-0.66,110,5,009520,684606,-30.83,78.74,6.08,1.40,-3414,-4227,7118,5,-200,-1.21,2,350,2.11,5,-370,-2.24
20251208,16220,16550,16210,16550,840050,13816,2.10,340,2,009520,689187,173.35,120.91,6.09,2.02,58804,2345,-64862,2,10,0.06,2,340,2.10,3,0,0.00
20251205,16020,16330,15900,16210,307313,4970,1.25,200,2,009520,675028,11.42,94.59,5.87,0.74,22345,20001,-42735,2,10,0.06,2,320,2.00,5,-110,-0.69
20251204,16200,16270,15900,16010,275827,4426,-0.93,150,5,009520,666700,1.58,58.66,5.87,0.66,8366,11304,-17895,2,40,0.25,2,110,0.68,5,-260,-1.61
20251203,16370,16380,16080,16160,271532,4397,-1.04,170,5,009520,672946,-42.39,60.98,5.85,0.65,24731,853,-20889,2,40,0.24,2,50,0.31,5,-250,-1.53
20251202,16180,16390,15850,16330,471317,7639,1.87,300,2,009520,680025,-33.89,146.33,5.84,1.13,118951,32236,-154203,2,150,0.94,2,360,2.25,5,-180,-1.12
20251201,15710,16340,15600,16030,712886,11420,3.62,560,2,009520,667533,258.53,170.39,5.55,1.71,198202,36171,-234039,2,240,1.55,2,870,5.62,2,130,0.84
20251128,15410,15590,15320,15470,198838,3075,1.11,170,2,009520,644213,-2.96,96.69,5.09,0.48,2853,20188,-22953,2,110,0.72,2,290,1.90,2,20,0.13
20251127,15580,15680,15290,15300,204893,3175,-1.35,210,5,009520,637133,-39.27,96.21,5.07,0.49,29829,-6675,-17252,2,70,0.45,2,170,1.10,5,-220,-1.42
20251126,14980,15600,14970,15510,337356,5177,5.37,790,2,009520,645878,96.27,231.00,5.00,0.81,149961,6247,-156435,2,260,1.77,2,880,5.98,2,250,1.70
20251125,14540,14970,14540,14720,171882,2533,1.31,190,2,009520,612981,-10.82,146.42,4.63,0.41,45490,9481,-54826,2,10,0.07,2,440,3.03,2,10,0.07
20251124,15080,15080,14530,14530,192736,2834,-2.68,400,5,009520,605068,-23.03,47.06,4.52,0.46,-28144,5092,23239,2,150,1.00,2,150,1.00,5,-400,-2.68
20251121,15000,15290,14870,14930,250389,3759,-3.11,480,5,009520,621726,-18.56,68.57,4.59,0.60,12010,7729,-21717,5,-410,-2.66,5,-120,-0.78,5,-540,-3.50
20251120,15420,15790,15410,15410,307446,4783,0.06,10,2,009520,641714,-24.40,76.16,4.56,0.74,9070,-10142,-5275,2,20,0.13,2,390,2.53,2,10,0.06
20251119,15230,15700,14900,15400,406650,6236,0.98,150,2,009520,641298,-59.94,103.35,4.54,0.98,43526,-9523,-38493,5,-20,-0.13,2,450,2.95,5,-350,-2.30
20251118,15970,16430,15130,15250,1015097,16142,-1.80,280,5,009520,635051,371.10,65.42,4.43,2.44,-94567,-3390,94497,2,440,2.83,2,900,5.80,5,-400,-2.58
20251117,15550,15650,15220,15530,215473,3331,0.71,110,2,009520,646711,-59.66,94.38,4.67,0.52,-1077,-1605,-2206,2,130,0.84,2,230,1.49,5,-200,-1.30
20251114,16250,16250,15410,15420,534164,8387,-5.51,900,5,009520,642130,-2.58,39.88,4.64,1.28,-132206,-15101,127264,5,-70,-0.43,5,-70,-0.43,5,-910,-5.58
20251113,16070,16320,15870,16320,548288,8830,1.68,270,2,009520,679609,-17.94,90.61,4.95,1.32,-21081,88942,-69935,2,20,0.12,2,270,1.68,5,-180,-1.12
20251112,15800,16490,15710,16050,668151,10760,1.78,280,2,009520,668365,-4.99,108.68,5.00,1.60,-12809,-4337,18952,2,30,0.19,2,720,4.57,5,-60,-0.38
20251111,15710,16300,15420,15770,703254,11201,0.83,130,2,009520,656705,40.76,76.91,5.03,1.69,-4770,1851,901,2,70,0.45,2,660,4.22,5,-220,-1.41
20251110,15100,15880,14860,15640,499595,7746,5.82,860,2,009520,651292,25.39,145.41,5.01,1.20,119373,1045,-126359,2,320,2.17,2,1100,7.44,2,80,0.54
20251107,14850,15330,14620,14780,398448,5940,-2.70,410,5,009520,615479,-7.50,74.76,4.72,0.96,38604,8985,-47946,5,-340,-2.24,2,140,0.92,5,-570,-3.75
20251106,15420,15900,15180,15190,430733,6687,-0.26,40,5,009520,632553,-12.39,95.80,4.62,1.03,40766,3989,-47129,2,190,1.25,2,670,4.40,5,-50,-0.33
20251105,15800,15800,14710,15230,491649,7449,-4.21,670,5,009520,634218,12.04,79.20,4.50,1.18,25056,14612,-41854,5,-100,-0.63,5,-100,-0.63,5,-1190,-7.48
20251104,16530,16600,15900,15900,438824,7096,-2.09,340,5,009520,662119,-12.31,66.79,4.47,1.05,-35197,-41,34391,2,290,1.79,2,360,2.22,5,-340,-2.09
20251103,15630,16280,15450,16240,500399,7974,6.07,930,2,009520,676277,141.53,121.66,4.60,1.20,25179,27730,-65599,2,320,2.09,2,970,6.34,2,140,0.91
20251031,15490,15680,15310,15310,207180,3212,-1.92,300,5,009520,637550,-51.41,45.25,4.52,0.50,-18732,11572,7642,5,-120,-0.77,2,70,0.45,5,-300,-1.92
20251030,16360,16420,15600,15610,426422,6777,-4.17,680,5,009520,650043,12.41,75.07,4.61,1.02,46452,-18674,-27764,2,70,0.43,2,130,0.80,5,-690,-4.24
20251029,16630,16630,16220,16290,379349,6220,-1.45,240,5,009520,678360,-19.87,54.24,4.44,0.91,-19598,6584,12911,2,100,0.60,2,100,0.60,5,-310,-1.88
20251028,16590,16770,16170,16530,473431,7776,-0.72,120,5,009520,688354,-72.72,66.96,4.51,1.14,7221,-4222,-2411,5,-60,-0.36,2,120,0.72,5,-480,-2.88
20251027,17210,17490,16250,16650,1735382,29278,-1.19,200,5,009520,693351,-2.57,59.97,4.49,4.17,-232217,-5084,240789,2,360,2.14,2,640,3.80,5,-600,-3.56
