date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,65800,66200,65000,65400,10330,675,-1.06,-700,5,004490,915600,-73.87,94.12,25.44,0.07,0,0,0,5,-300,-0.45,2,100,0.15,5,-1100,-1.66
20251209,67100,67100,65100,66100,39526,2603,-1.34,900,5,004490,925400,-31.91,53.00,25.44,0.28,-4151,-2081,2039,2,100,0.15,2,100,0.15,5,-1900,-2.84
20251208,68500,68500,66300,67000,58047,3878,-1.33,900,5,004490,938000,1.19,104.52,25.48,0.41,-7728,-2615,-1023,2,600,0.88,2,600,0.88,5,-1600,-2.36
20251205,67900,68200,66700,67900,57363,3888,0.15,100,2,004490,950600,-2.26,161.75,25.45,0.41,11486,-1286,-11783,2,100,0.15,2,400,0.59,5,-1100,-1.62
20251204,67000,67900,66900,67800,58687,3959,1.04,700,2,004490,949200,-13.02,132.39,25.45,0.42,4137,-8270,4008,5,-100,-0.15,2,800,1.19,5,-200,-0.30
20251203,66900,67600,66100,67100,67470,4522,0.30,200,2,004490,939400,16.15,146.31,25.47,0.48,13379,-4819,-10982,3,0,0.00,2,700,1.05,5,-800,-1.20
20251202,66500,67150,66000,66900,58087,3875,0.90,600,2,004490,936600,-3.14,141.77,25.43,0.41,7890,3569,-12650,2,200,0.30,2,850,1.28,5,-300,-0.45
20251201,66900,67400,65600,66300,59970,3998,-0.90,600,5,004490,928200,-64.27,135.78,25.38,0.43,2960,6601,-13995,3,0,0.00,2,500,0.75,5,-1300,-1.94
20251128,64800,67800,64500,66900,167824,11231,3.72,2400,2,004490,936600,38.50,201.83,25.36,1.20,85948,18928,-101366,2,300,0.47,2,3300,5.12,3,0,0.00
20251127,61100,65100,61100,64500,121175,7698,4.88,3000,2,004490,903000,332.23,159.03,24.61,0.87,51991,13492,-64730,5,-400,-0.65,2,3600,5.85,5,-400,-0.65
20251126,60400,61500,59500,61500,28035,1703,2.84,1700,2,004490,861000,-27.43,113.61,24.15,0.20,10619,150,-10977,2,600,1.00,2,1700,2.84,5,-300,-0.50
20251125,60000,60500,59500,59800,38632,2316,0.17,100,2,004490,837200,-25.71,104.39,24.07,0.28,8668,-9858,1395,2,300,0.50,2,800,1.34,5,-200,-0.34
20251124,59800,61000,59400,59700,52002,3127,1.36,800,2,004490,835800,-78.17,99.07,24.20,0.37,2332,3340,-5595,2,900,1.53,2,2100,3.57,2,500,0.85
20251121,58500,59900,58400,58900,238218,14055,-0.67,400,5,004490,824600,578.08,190.44,24.17,1.70,-17294,-3232,21015,5,-800,-1.35,2,600,1.01,5,-900,-1.52
20251120,58800,60300,58800,59300,35131,2094,1.19,700,2,004490,830200,-25.10,151.07,24.30,0.25,9253,1637,-10876,2,200,0.34,2,1700,2.90,2,200,0.34
20251119,58300,59700,57800,58600,46902,2752,0.86,500,2,004490,820400,-38.18,124.33,24.23,0.34,3111,2467,-5542,2,200,0.34,2,1600,2.75,5,-300,-0.52
20251118,58700,59500,57600,58100,75865,4415,-1.53,900,5,004490,813400,10.75,68.36,24.21,0.54,-42836,-5941,48748,5,-300,-0.51,2,500,0.85,5,-1400,-2.37
20251117,60300,60300,58300,59000,68504,4038,-1.34,800,5,004490,826000,89.44,172.87,24.53,0.49,-14850,-4543,19811,2,500,0.84,2,500,0.84,5,-1500,-2.51
20251114,60800,61100,59600,59800,36162,2182,-3.08,1900,5,004490,837200,-4.09,62.35,24.65,0.26,-8156,-6154,12388,5,-900,-1.46,5,-600,-0.97,5,-2100,-3.40
20251113,60800,62000,60600,61700,37703,2314,1.15,700,2,004490,863800,23.28,102.08,24.79,0.27,5172,-2478,-2178,5,-200,-0.33,2,1000,1.64,5,-400,-0.66
20251112,60400,61300,60000,61000,30584,1856,0.66,400,2,004490,854000,-40.29,107.26,24.70,0.22,5247,-4448,-1064,5,-200,-0.33,2,700,1.16,5,-600,-0.99
20251111,60800,61800,60250,60600,51223,3113,-0.66,400,5,004490,848400,-54.16,139.28,24.58,0.37,14213,-3785,-8871,5,-200,-0.33,2,800,1.31,5,-750,-1.23
20251110,58300,61900,58200,61000,111750,6767,4.63,2700,2,004490,854000,5.53,116.75,24.33,0.80,40579,2533,-42941,3,0,0.00,2,3600,6.17,5,-100,-0.17
20251107,58700,59000,57300,58300,105896,6156,-1.69,1000,5,004490,816200,-33.46,40.56,23.99,0.76,-21580,-12961,23107,5,-600,-1.01,5,-300,-0.51,5,-2000,-3.37
20251106,61600,62500,57300,59300,159150,9360,-3.89,2400,5,004490,830200,94.12,45.30,24.15,1.14,-22248,-38283,59190,5,-100,-0.16,2,800,1.30,5,-4400,-7.13
20251105,64000,64000,61100,61700,81986,5079,-3.44,2200,5,004490,863800,79.95,60.47,24.30,0.59,-6259,-3770,9643,2,100,0.16,2,100,0.16,5,-2800,-4.38
