date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,17990,17990,17790,17820,119913,2142,-1.00,-180,5,035250,3812420,-60.83,49.46,12.88,0.06,0,0,0,5,-10,-0.06,5,-10,-0.06,5,-210,-1.17
20251209,17910,18000,17780,18000,306134,5486,1.07,190,2,035250,3850929,6.24,69.80,12.88,0.14,103839,-34848,-69137,2,100,0.56,2,190,1.07,5,-30,-0.17
20251208,17960,18000,17750,17810,288140,5137,-0.61,110,5,035250,3810280,5.40,41.37,12.84,0.13,6759,-46007,53915,2,40,0.22,2,80,0.45,5,-170,-0.95
20251205,17880,18000,17840,17920,273371,4897,-0.44,-80,5,035250,3833814,-12.83,63.88,12.86,0.13,7893,10314,-16486,5,-120,-0.67,3,0,0.00,5,-160,-0.89
20251204,18090,18120,17900,18000,313619,5636,-0.66,120,5,035250,3850929,45.16,54.21,12.86,0.15,13339,-45681,33247,5,-30,-0.17,3,0,0.00,5,-220,-1.21
20251203,18150,18180,18040,18120,216050,3910,-0.17,30,5,035250,3876602,-36.37,50.52,12.86,0.10,31212,-9287,-16314,3,0,0.00,2,30,0.17,5,-110,-0.61
20251202,18070,18200,18010,18150,339540,6153,0.50,90,2,035250,3883020,-18.13,94.94,12.85,0.16,152641,-24930,-125380,2,10,0.06,2,140,0.78,5,-50,-0.28
20251201,18030,18170,17890,18060,414706,7483,0.39,70,2,035250,3863765,4.04,104.37,12.78,0.19,122483,-18564,-107654,2,40,0.22,2,180,1.00,5,-100,-0.56
20251128,17980,18040,17850,17990,398600,7152,0.73,130,2,035250,3848790,25.27,160.54,12.71,0.19,-63024,145078,-78126,2,120,0.67,2,180,1.01,5,-10,-0.06
20251127,17830,18000,17730,17860,318203,5694,-0.06,10,5,035250,3820977,-19.58,135.18,12.72,0.15,-13088,97536,-78652,5,-40,-0.22,2,130,0.73,5,-140,-0.78
20251126,17650,17870,17530,17870,395664,7033,1.94,340,2,035250,3823117,2.05,141.66,12.72,0.18,90156,112280,-195403,2,120,0.68,2,340,1.94,3,0,0.00
20251125,17960,18010,17520,17530,387723,6872,-2.18,390,5,035250,3750377,-47.81,65.67,12.67,0.18,-104478,-25528,127797,2,40,0.22,2,90,0.50,5,-400,-2.23
20251124,17800,17990,17650,17920,742874,13279,1.13,200,2,035250,3833814,3.25,109.76,12.72,0.35,109372,31510,-138918,2,80,0.45,2,270,1.52,5,-70,-0.40
20251121,17530,17800,17440,17720,719469,12711,0.51,90,2,035250,3791026,24.18,130.44,12.67,0.34,-28607,211767,-176509,5,-100,-0.57,2,170,0.96,5,-190,-1.08
20251120,17500,17790,17470,17630,579398,10247,0.40,70,2,035250,3771771,-9.47,153.88,12.74,0.27,108089,70079,-172348,5,-60,-0.34,2,230,1.31,5,-90,-0.51
20251119,17600,17830,17410,17560,640009,11245,0.98,170,2,035250,3756795,29.98,124.05,12.68,0.30,-20746,6721,23741,2,210,1.21,2,440,2.53,2,20,0.12
